Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
EUR-DSCON-OIS,EUR-OIS-1M, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-1M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M,
EUR-DSCON-OIS,EUR-OIS-2M, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-2M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M,
EUR-DSCON-OIS,EUR-OIS-3M, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,
EUR-DSCON-OIS,EUR-OIS-6M, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,
EUR-DSCON-OIS,EUR-OIS-1Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,
EUR-DSCON-OIS,EUR-OIS-2Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,
EUR-DSCON-OIS,EUR-OIS-3Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,
EUR-DSCON-OIS,EUR-OIS-4Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-4Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y,
EUR-DSCON-OIS,EUR-OIS-5Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,
EUR-DSCON-OIS,EUR-OIS-6Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-6Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y,
EUR-DSCON-OIS,EUR-OIS-7Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-7Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y,
EUR-DSCON-OIS,EUR-OIS-8Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-8Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y,
EUR-DSCON-OIS,EUR-OIS-9Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-9Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y,
EUR-DSCON-OIS,EUR-OIS-10Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-10Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y,
EUR-DSCON-OIS,EUR-OIS-15Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-15Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y,
EUR-DSCON-OIS,EUR-OIS-20Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-20Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y,
EUR-DSCON-OIS,EUR-OIS-30Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-30Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y,
EUR-DSCON-OIS,EUR-OIS-50Y, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-50Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,50Y,
,,,,,,,,
EUR-EURIBOR3M-BS,EUR-FIX-EURIBOR3M, muRisQ-Ticker,EUR-EURIBOR-3M,MarketValue,FIX,EUR-EURIBOR-3M,,
EUR-EURIBOR3M-BS,EUR-FRA-3Mx6M, muRisQ-Ticker,EUR-EURIBOR-3M-FRA-3Mx6M,MarketValue,FRA,EUR-EURIBOR-3M,3Mx6M,
EUR-EURIBOR3M-BS,EUR-FRA-6Mx9M, muRisQ-Ticker,EUR-EURIBOR-3M-FRA-6Mx9M,MarketValue,FRA,EUR-EURIBOR-3M,6Mx9M,
EUR-EURIBOR3M-BS,EUR-FRA-9Mx12M, muRisQ-Ticker,EUR-EURIBOR-3M-FRA-9Mx12M,MarketValue,FRA,EUR-EURIBOR-3M,9Mx12M,
