Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
USD-DSCFF-OIS,USD-FFOIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,
USD-DSCFF-OIS,USD-FFOIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,
USD-DSCFF-OIS,USD-FFOIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,
USD-DSCFF-OIS,USD-FFOIS-15Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,15Y,
USD-DSCFF-OIS,USD-FFOIS-20Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-20Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,20Y,
USD-DSCFF-OIS,USD-FFOIS-30Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-30Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,30Y,
,,,,,,,,
USD-cFF-LIBOR3M-IRS,USD-LIBOR-3M,muRisQ-Ticker,USD-LIBOR-3M,MarketValue,FIX,USD-LIBOR-3M,,
USD-cFF-LIBOR3M-IRS,USD-cFF-FRA3M-3MX6M,muRisQ-Ticker,USD-LIBOR-3M-3MX6M,MarketValue,FRA,USD-LIBOR-3M,3MX6M,
USD-cFF-LIBOR3M-IRS,USD-cFF-FRA3M-6MX9M,muRisQ-Ticker,USD-LIBOR-3M-6MX9M,MarketValue,FRA,USD-LIBOR-3M,6MX9M,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-1Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-2Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-2Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-3Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-3Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-4Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-4Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-5Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-5Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-7Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-7Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-10Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-10Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-15Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-15Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-20Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-20Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y,
USD-cFF-LIBOR3M-IRS,USD-cFF-IRS3M-30Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-30Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y,
