Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
USD-DSCSO-OIS,USD-SOOIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,2Y,
USD-DSCSO-OIS,USD-SOOIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,5Y,
USD-DSCSO-OIS,USD-SOOIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,10Y,
USD-DSCSO-OIS,USD-SOOIS-15Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-15Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,15Y,
USD-DSCSO-OIS,USD-SOOIS-20Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-20Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,20Y,
USD-DSCSO-OIS,USD-SOOIS-30Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-30Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,30Y,
,,,,,,,,
USD-FF-OIS,USD-FFOIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,
USD-FF-OIS,USD-FFOIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,
USD-FF-OIS,USD-FFOIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,
USD-FF-OIS,USD-FFOIS-15Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,15Y,
USD-FF-OIS,USD-FFOIS-20Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-20Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,20Y,
USD-FF-OIS,USD-FFOIS-30Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-30Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,30Y,
,,,,,,,,
USD-cSO-LIBOR3M-IRS,USD-LIBOR-3M,muRisQ-Ticker,USD-LIBOR-3M,MarketValue,FIX,USD-LIBOR-3M,,
USD-cSO-LIBOR3M-IRS,USD-cSO-FRA3M-3MX6M,muRisQ-Ticker,USD-LIBOR-3M-3MX6M,MarketValue,FRA,USD-LIBOR-3M,3MX6M,
USD-cSO-LIBOR3M-IRS,USD-cSO-FRA3M-6MX9M,muRisQ-Ticker,USD-LIBOR-3M-6MX9M,MarketValue,FRA,USD-LIBOR-3M,6MX9M,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-1Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-2Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-2Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-3Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-3Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-4Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-4Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-5Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-5Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-7Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-7Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-10Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-10Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-15Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-15Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-20Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-20Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y,
USD-cSO-LIBOR3M-IRS,USD-cSO-IRS3M-30Y,muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-30Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y,
