Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
USD-SO-OIS,USD-SOOIS-1M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1M,
USD-SO-OIS,USD-SOOIS-3M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3M,
USD-SO-OIS,USD-SOOIS-6M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-6M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,6M,
USD-SO-OIS,USD-SOOIS-9M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-9M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,9M,
USD-SO-OIS,USD-SOOIS-1Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1Y,
USD-SO-OIS,USD-SOOIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,2Y,
USD-SO-OIS,USD-SOOIS-3Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3Y,
USD-SO-OIS,USD-SOOIS-4Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,4Y,
USD-SO-OIS,USD-SOOIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,5Y,
USD-SO-OIS,USD-SOOIS-7Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,7Y,
USD-SO-OIS,USD-SOOIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,10Y,
USD-SO-OIS,USD-SOOIS-15Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-15Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,15Y,
USD-SO-OIS,USD-SOOIS-20Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-20Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,20Y,
USD-SO-OIS,USD-SOOIS-30Y,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-30Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,30Y,
,,,,,,,,
USD-DSCFF-OIS,USD-FFOIS-1M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,
USD-DSCFF-OIS,USD-FFOIS-3M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,
USD-DSCFF-OIS,USD-FFOIS-6M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,
USD-DSCFF-OIS,USD-FFOIS-9M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,
USD-DSCFF-OIS,USD-FFOIS-1Y,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1Y,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1Y,
USD-DSCFF-OIS,USD-FFOIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,
USD-DSCFF-OIS,USD-FFOIS-3Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,
USD-DSCFF-OIS,USD-FFOIS-4Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,
USD-DSCFF-OIS,USD-FFOIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,
USD-DSCFF-OIS,USD-FFOIS-7Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,
USD-DSCFF-OIS,USD-FFOIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,
USD-DSCFF-OIS,USD-FFOIS-15Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,15Y,
USD-DSCFF-OIS,USD-FFOIS-20Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-20Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,20Y,
USD-DSCFF-OIS,USD-FFOIS-30Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-30Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,30Y,
,,,,,,,,
USD-cFF-LIBOR3M-IRS,USD-LIBOR-3M,muRisQ-Ticker,USD-LIBOR-3M,MarketValue,FIX,USD-LIBOR-3M,,
USD-cFF-LIBOR3M-IRS,USD-cSO-FRA3M-3MX6M,muRisQ-Ticker,USD-LIBOR-3M-3MX6M,MarketValue,FRA,USD-LIBOR-3M,3MX6M,
