Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date
,,,,,,,,
USD-DSCON-OIS,USD-OIS-1M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,2019-07-31
USD-DSCON-OIS,USD-OIS-3M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,2019-09-18
USD-DSCON-OIS,USD-OIS-4M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-4M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,4M,2019-10-30
USD-DSCON-OIS,USD-OIS-6M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,2019-12-11
USD-DSCON-OIS,USD-OIS-7M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-7M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,7M,2020-01-29
USD-DSCON-OIS,USD-OIS-9M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,2020-03-18
USD-DSCON-OIS,USD-OIS-10M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-10M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,10M,2020-04-29
USD-DSCON-OIS,USD-OIS-12M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-12M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,12M,2020-06-10
USD-DSCON-OIS,USD-OIS-15M,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15M,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,15M,2020-09-16
USD-DSCON-OIS,USD-OIS-18M,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-18M,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,18M,2020-11-05
