Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date
,,,,,,,,
USD-DSCON-OIS,USD-OIS-1M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,2019-07-31
USD-DSCON-OIS,USD-OIS-3M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,2019-09-18
USD-DSCON-OIS,USD-OIS-4M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-4M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,4M,2019-10-30
USD-DSCON-OIS,USD-OIS-6M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,2019-12-11
USD-DSCON-OIS,USD-OIS-7M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-7M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,7M,2020-01-29
USD-DSCON-OIS,USD-OIS-9M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,2020-03-18
USD-DSCON-OIS,USD-OIS-10M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-10M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,10M,2020-04-29
USD-DSCON-OIS,USD-OIS-12M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-12M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,12M,2020-06-10
USD-DSCON-OIS,USD-OIS-15M,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15M,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,15M,2020-09-16
USD-DSCON-OIS,USD-OIS-18M,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-18M,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,18M,2020-11-05
USD-DSCON-OIS,USD-OIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,
USD-DSCON-OIS,USD-OIS-3Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,
USD-DSCON-OIS,USD-OIS-4Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,
USD-DSCON-OIS,USD-OIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,
,,,,,,,,
USD-LIBOR3M-IRS,USD-LIBOR-3M, muRisQ-Ticker,USD-LIBOR-3M,MarketValue,FIX,USD-LIBOR-3M,,
USD-LIBOR3M-IRS,USD-LIBOR-3M-3Mx6M, muRisQ-Ticker,USD-LIBOR-3M-3Mx6M,MarketValue,FRA,USD-LIBOR-3M,3Mx6M,
USD-LIBOR3M-IRS,USD-LIBOR-3M-6Mx9M, muRisQ-Ticker,USD-LIBOR-3M-6Mx9M,MarketValue,FRA,USD-LIBOR-3M,6Mx9M,
USD-LIBOR3M-IRS,USD-FIXED-6M-LIBOR-3M-1Y, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,
USD-LIBOR3M-IRS,USD-FIXED-6M-LIBOR-3M-2Y, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-2Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,
USD-LIBOR3M-IRS,USD-FIXED-6M-LIBOR-3M-3Y, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-3Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,
USD-LIBOR3M-IRS,USD-FIXED-6M-LIBOR-3M-4Y, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-4Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,
USD-LIBOR3M-IRS,USD-FIXED-6M-LIBOR-3M-5Y, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-5Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,
