Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
USD-DSCON-EFFR,USD-FIXED-TERM-FED-FUND-OIS-1M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,
USD-DSCON-EFFR,USD-FIXED-TERM-FED-FUND-OIS-3M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,
USD-DSCON-EFFR,USD-FIXED-TERM-FED-FUND-OIS-6M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,
USD-DSCON-EFFR,USD-FIXED-TERM-FED-FUND-OIS-9M,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,
USD-DSCON-EFFR,USD-FIXED-TERM-FED-FUND-OIS-1Y,muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1Y,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-2Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-3Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-4Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-5Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-7Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,
USD-DSCON-EFFR,USD-FIXED-1Y-FED-FUND-OIS-10Y,muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,
