Reference,Date,Value
CHF-SARON,2021-08-25,-0.00724588
CHF-SARON,2021-08-24,-0.00725193
CHF-SARON,2021-08-23,-0.00723977
CHF-SARON,2021-08-20,-0.00724845
CHF-SARON,2021-08-19,-0.00725126
CHF-SARON,2021-08-18,-0.00725143
CHF-SARON,2021-08-17,-0.00725222
CHF-SARON,2021-08-16,-0.0072518
CHF-SARON,2021-08-13,-0.00725337
CHF-SARON,2021-08-12,-0.00724325
CHF-SARON,2021-08-11,-0.00725185
CHF-SARON,2021-08-10,-0.0072521
CHF-SARON,2021-08-09,-0.00725512
CHF-SARON,2021-08-06,-0.00724848
CHF-SARON,2021-08-05,-0.00725503
CHF-SARON,2021-08-04,-0.00725226
CHF-SARON,2021-08-03,-0.00725132
CHF-SARON,2021-08-02,-0.00722162
CHF-SARON,2021-07-30,-0.00721564
CHF-SARON,2021-07-29,-0.00724761
CHF-SARON,2021-07-28,-0.00725111
CHF-SARON,2021-07-27,-0.00725335
CHF-SARON,2021-07-26,-0.00725046
CHF-SARON,2021-07-23,-0.00725331
CHF-SARON,2021-07-22,-0.00725112
CHF-SARON,2021-07-21,-0.00725288
CHF-SARON,2021-07-20,-0.00725509
CHF-SARON,2021-07-19,-0.00725655
CHF-SARON,2021-07-16,-0.00727183
CHF-SARON,2021-07-15,-0.00727486
CHF-SARON,2021-07-14,-0.00725377
CHF-SARON,2021-07-13,-0.00726147
CHF-SARON,2021-07-12,-0.00726061
CHF-SARON,2021-07-09,-0.00726393
CHF-SARON,2021-07-08,-0.007263
CHF-SARON,2021-07-07,-0.00725942
CHF-SARON,2021-07-06,-0.00725663
CHF-SARON,2021-07-05,-0.00726384
CHF-SARON,2021-07-02,-0.00725463
CHF-SARON,2021-07-01,-0.00721368
CHF-SARON,2021-06-30,-0.00722566
CHF-SARON,2021-06-29,-0.00725649
CHF-SARON,2021-06-28,-0.00725809
CHF-SARON,2021-06-25,-0.00725837
CHF-SARON,2021-06-24,-0.00725911
CHF-SARON,2021-06-23,-0.00725273
CHF-SARON,2021-06-22,-0.0072633
CHF-SARON,2021-06-21,-0.00726377
CHF-SARON,2021-06-18,-0.00725487
CHF-SARON,2021-06-17,-0.00725775
CHF-SARON,2021-06-16,-0.00725392
CHF-SARON,2021-06-15,-0.00725874
CHF-SARON,2021-06-14,-0.00725256
CHF-SARON,2021-06-11,-0.0072561
CHF-SARON,2021-06-10,-0.00725823
CHF-SARON,2021-06-09,-0.00725567
CHF-SARON,2021-06-08,-0.00725885
CHF-SARON,2021-06-07,-0.00725575
CHF-SARON,2021-06-04,-0.00725913
CHF-SARON,2021-06-03,-0.00725901
CHF-SARON,2021-06-02,-0.0072592
CHF-SARON,2021-06-01,-0.00725216
CHF-SARON,2021-05-31,-0.00725578
CHF-SARON,2021-05-28,-0.00725971
CHF-SARON,2021-05-27,-0.00725891
CHF-SARON,2021-05-26,-0.00725944
CHF-SARON,2021-05-25,-0.00725852
CHF-SARON,2021-05-21,-0.00725094
CHF-SARON,2021-05-20,-0.00725432
CHF-SARON,2021-05-19,-0.00725931
