Reference, Date, Value
EUR-ESTRCMP-3M,2017-03-15,-0.004454699457490627
EUR-ESTRCMP-3M,2017-03-16,-0.0044552362882061235
EUR-ESTRCMP-3M,2017-03-17,-0.004455670581156855
EUR-ESTRCMP-3M,2017-03-20,-0.004456104874047636
EUR-ESTRCMP-3M,2017-03-21,-0.004456430593681075
EUR-ESTRCMP-3M,2017-03-22,-0.004456824683700535
EUR-ESTRCMP-3M,2017-03-23,-0.004458927824571411
EUR-ESTRCMP-3M,2017-03-24,-0.004459904982595037
EUR-ESTRCMP-3M,2017-03-27,-0.0044604478480910715
EUR-ESTRCMP-3M,2017-03-28,-0.0044605564211868025
EUR-ESTRCMP-3M,2017-03-29,-0.0044605080302375375
EUR-ESTRCMP-3M,2017-03-30,-0.004459849408407057
EUR-ESTRCMP-3M,2017-03-31,-0.004459849408406618
EUR-ESTRCMP-3M,2017-04-03,-0.004459959175994605
EUR-ESTRCMP-3M,2017-04-04,-0.004459959175995482
EUR-ESTRCMP-3M,2017-04-05,-0.0044599591759950435
EUR-ESTRCMP-3M,2017-04-06,-0.004459300554130744
EUR-ESTRCMP-3M,2017-04-07,-0.004459081018915682
EUR-ESTRCMP-3M,2017-04-10,-0.004459081018915682
EUR-ESTRCMP-3M,2017-04-11,-0.004458861483690958
EUR-ESTRCMP-3M,2017-04-12,-0.004458198585791748
EUR-ESTRCMP-3M,2017-04-13,-0.004458308353425412
EUR-ESTRCMP-3M,2017-04-18,-0.004458527888679124
EUR-ESTRCMP-3M,2017-04-19,-0.004458308353419702
EUR-ESTRCMP-3M,2017-04-20,-0.004457979042322629
EUR-ESTRCMP-3M,2017-04-21,-0.0044580888099598065
EUR-ESTRCMP-3M,2017-04-24,-0.004458088809957171
EUR-ESTRCMP-3M,2017-04-25,-0.004458088809958049
EUR-ESTRCMP-3M,2017-04-26,-0.004457883140672817
EUR-ESTRCMP-3M,2017-04-27,-0.00445718451951588
EUR-ESTRCMP-3M,2017-04-28,-0.004457618812225936
EUR-ESTRCMP-3M,2017-05-02,-0.00445783595857032
EUR-ESTRCMP-3M,2017-05-03,-0.004458200120908069
EUR-ESTRCMP-3M,2017-05-04,-0.00445794453173556
EUR-ESTRCMP-3M,2017-05-05,-0.0044580531048960224
EUR-ESTRCMP-3M,2017-05-08,-0.0044581616780556155
EUR-ESTRCMP-3M,2017-05-09,-0.0044582702512112994
EUR-ESTRCMP-3M,2017-05-10,-0.00445830637344335
EUR-ESTRCMP-3M,2017-05-11,-0.0044582702512121685
EUR-ESTRCMP-3M,2017-05-12,-0.004458378824367417
EUR-ESTRCMP-3M,2017-05-15,-0.004460550286229913
EUR-ESTRCMP-3M,2017-05-16,-0.004460441713135485
EUR-ESTRCMP-3M,2017-05-17,-0.00445990027143609
EUR-ESTRCMP-3M,2017-05-18,-0.004459681685244862
EUR-ESTRCMP-3M,2017-05-19,-0.004459464539004308
EUR-ESTRCMP-3M,2017-05-22,-0.004459247392754196
EUR-ESTRCMP-3M,2017-05-23,-0.0044589216733284176
EUR-ESTRCMP-3M,2017-05-24,-0.004457881299437994
EUR-ESTRCMP-3M,2017-05-25,-0.004458704535041067
EUR-ESTRCMP-3M,2017-05-26,-0.00445881310817807
EUR-ESTRCMP-3M,2017-05-29,-0.004458704535036722
EUR-ESTRCMP-3M,2017-05-30,-0.004458595961881039
EUR-ESTRCMP-3M,2017-05-31,-0.004458412625295773
EUR-ESTRCMP-3M,2017-06-01,-0.004458487388730569
EUR-ESTRCMP-3M,2017-06-02,-0.004458378815573582
EUR-ESTRCMP-3M,2017-06-05,-0.004458378815574016
EUR-ESTRCMP-3M,2017-06-06,-0.004459247400631808
EUR-ESTRCMP-3M,2017-06-07,-0.004459368969147543
EUR-ESTRCMP-3M,2017-06-08,-0.004459898847406593
EUR-ESTRCMP-3M,2017-06-09,-0.004460007420514923
EUR-ESTRCMP-3M,2017-06-12,-0.004460224566712902
EUR-ESTRCMP-3M,2017-06-13,-0.004460115993611089
EUR-ESTRCMP-3M,2017-06-14,-0.004459581489980389
EUR-ESTRCMP-3M,2017-06-15,-0.004459790274287836
EUR-ESTRCMP-3M,2017-06-16,-0.0044597902742865335
EUR-ESTRCMP-3M,2017-06-19,-0.004459573128039029
EUR-ESTRCMP-3M,2017-06-20,-0.004457293092388747
EUR-ESTRCMP-3M,2017-06-21,-0.0044577750867044914
EUR-ESTRCMP-3M,2017-06-22,-0.004457727401294542
EUR-ESTRCMP-3M,2017-06-23,-0.004457618828120612
EUR-ESTRCMP-3M,2017-06-26,-0.004457401681763195
EUR-ESTRCMP-3M,2017-06-27,-0.004457293108582749
EUR-ESTRCMP-3M,2017-06-28,-0.004457208816089506
EUR-ESTRCMP-3M,2017-06-29,-0.004461636149162961
EUR-ESTRCMP-3M,2017-06-30,-0.004461527576098509
EUR-ESTRCMP-3M,2017-07-03,-0.004461201856882562
EUR-ESTRCMP-3M,2017-07-04,-0.0044610932838033395
EUR-ESTRCMP-3M,2017-07-05,-0.004460963012600096
EUR-ESTRCMP-3M,2017-07-06,-0.00446141901108327
EUR-ESTRCMP-3M,2017-07-07,-0.004461527584151198
EUR-ESTRCMP-3M,2017-07-10,-0.004461527584150329
EUR-ESTRCMP-3M,2017-07-11,-0.004461636157219994
EUR-ESTRCMP-3M,2017-07-12,-0.004461813111342135
EUR-ESTRCMP-3M,2017-07-13,-0.0044618533033454226
EUR-ESTRCMP-3M,2017-07-14,-0.004462070449463466
EUR-ESTRCMP-3M,2017-07-17,-0.004462070449466941
EUR-ESTRCMP-3M,2017-07-18,-0.0044621790225205325
EUR-ESTRCMP-3M,2017-07-19,-0.004462556941724954
EUR-ESTRCMP-3M,2017-07-20,-0.004462504749763537
EUR-ESTRCMP-3M,2017-07-21,-0.004462396176720372
EUR-ESTRCMP-3M,2017-07-24,-0.004462396176720806
EUR-ESTRCMP-3M,2017-07-25,-0.004462613322805398
EUR-ESTRCMP-3M,2017-07-26,-0.004463088251308943
EUR-ESTRCMP-3M,2017-07-27,-0.004463590496213675
EUR-ESTRCMP-3M,2017-07-28,-0.004465110518547328
EUR-ESTRCMP-3M,2017-07-31,-0.004465653383378242
EUR-ESTRCMP-3M,2017-08-01,-0.004465979102242296
EUR-ESTRCMP-3M,2017-08-02,-0.004466276076013577
EUR-ESTRCMP-3M,2017-08-03,-0.004466521975038143
EUR-ESTRCMP-3M,2017-08-04,-0.00446684769382313
EUR-ESTRCMP-3M,2017-08-07,-0.004467173412575535
EUR-ESTRCMP-3M,2017-08-08,-0.004467499131303611
EUR-ESTRCMP-3M,2017-08-09,-0.004467869987153248
EUR-ESTRCMP-3M,2017-08-10,-0.004468476303491125
EUR-ESTRCMP-3M,2017-08-11,-0.004468693449230775
EUR-ESTRCMP-3M,2017-08-14,-0.004468910594970426
EUR-ESTRCMP-3M,2017-08-15,-0.004469344886414971
EUR-ESTRCMP-3M,2017-08-16,-0.004470632790911785
EUR-ESTRCMP-3M,2017-08-17,-0.0044717335371348005
EUR-ESTRCMP-3M,2017-08-18,-0.004472167828263946
EUR-ESTRCMP-3M,2017-08-21,-0.004472710692099569
EUR-ESTRCMP-3M,2017-08-22,-0.004473253555862208
EUR-ESTRCMP-3M,2017-08-23,-0.0044740331527319864
EUR-ESTRCMP-3M,2017-08-24,-0.0044753164859750285
EUR-ESTRCMP-3M,2017-08-25,-0.004475967922035775
EUR-ESTRCMP-3M,2017-08-28,-0.004476402212682698
EUR-ESTRCMP-3M,2017-08-29,-0.0044767476844633025
EUR-ESTRCMP-3M,2017-08-30,-0.004477516054336525
EUR-ESTRCMP-3M,2017-08-31,-0.004478833292109448
EUR-ESTRCMP-3M,2017-09-01,-0.004479272360339134
EUR-ESTRCMP-3M,2017-09-04,-0.004479601661485046
EUR-ESTRCMP-3M,2017-09-05,-0.0044799309626041665
EUR-ESTRCMP-3M,2017-09-06,-0.004480150496664108
EUR-ESTRCMP-3M,2017-09-07,-0.004481138424334328
EUR-ESTRCMP-3M,2017-09-08,-0.00448135795832751
EUR-ESTRCMP-3M,2017-09-11,-0.004481687259290711
EUR-ESTRCMP-3M,2017-09-12,-0.004482126327193626
EUR-ESTRCMP-3M,2017-09-13,-0.004482565395044714
EUR-ESTRCMP-3M,2017-09-14,-0.004483553322027572
EUR-ESTRCMP-3M,2017-09-15,-0.0044841021566317096
EUR-ESTRCMP-3M,2017-09-18,-0.004484541224263192
EUR-ESTRCMP-3M,2017-09-19,-0.00448465099116733
EUR-ESTRCMP-3M,2017-09-20,-0.004486956094769831
EUR-ESTRCMP-3M,2017-09-21,-0.0044883119545191166
EUR-ESTRCMP-3M,2017-09-22,-0.0044887838751649515
EUR-ESTRCMP-3M,2017-09-25,-0.004489155797136022
EUR-ESTRCMP-3M,2017-09-26,-0.004489594864207514
EUR-ESTRCMP-3M,2017-09-27,-0.004489814397723715
EUR-ESTRCMP-3M,2017-09-28,-0.0044970375169736555
EUR-ESTRCMP-3M,2017-09-29,-0.004497580377355086
EUR-ESTRCMP-3M,2017-10-02,-0.004497906093547798
EUR-ESTRCMP-3M,2017-10-03,-0.004498448953809759
EUR-ESTRCMP-3M,2017-10-04,-0.004499754477143628
EUR-ESTRCMP-3M,2017-10-05,-0.004501271883039263
EUR-ESTRCMP-3M,2017-10-06,-0.0045019233148099625
EUR-ESTRCMP-3M,2017-10-09,-0.004502466174543216
EUR-ESTRCMP-3M,2017-10-10,-0.004502900462272473
EUR-ESTRCMP-3M,2017-10-11,-0.004504004902980028
EUR-ESTRCMP-3M,2017-10-12,-0.00450583195214897
EUR-ESTRCMP-3M,2017-10-13,-0.004506483383195902
EUR-ESTRCMP-3M,2017-10-16,-0.004507026242327027
EUR-ESTRCMP-3M,2017-10-17,-0.00450746052955929
EUR-ESTRCMP-3M,2017-10-18,-0.004508892886920187
EUR-ESTRCMP-3M,2017-10-19,-0.004510174880968581
EUR-ESTRCMP-3M,2017-10-20,-0.004510826311273931
EUR-ESTRCMP-3M,2017-10-23,-0.004511369169757749
EUR-ESTRCMP-3M,2017-10-24,-0.004511912028179876
EUR-ESTRCMP-3M,2017-10-25,-0.004512718251060533
EUR-ESTRCMP-3M,2017-10-26,-0.004514083501936336
EUR-ESTRCMP-3M,2017-10-27,-0.004514409216782299
EUR-ESTRCMP-3M,2017-10-30,-0.004512997785273675
EUR-ESTRCMP-3M,2017-10-31,-0.004513432071881219
EUR-ESTRCMP-3M,2017-11-01,-0.004514312182737817
EUR-ESTRCMP-3M,2017-11-02,-0.004515603553029157
EUR-ESTRCMP-3M,2017-11-03,-0.004515820696173058
EUR-ESTRCMP-3M,2017-11-06,-0.004516146410876528
EUR-ESTRCMP-3M,2017-11-07,-0.004516472125549586
EUR-ESTRCMP-3M,2017-11-08,-0.004516437384217296
EUR-ESTRCMP-3M,2017-11-09,-0.004517775008347323
EUR-ESTRCMP-3M,2017-11-10,-0.004517992151372622
EUR-ESTRCMP-3M,2017-11-13,-0.004518426437375
EUR-ESTRCMP-3M,2017-11-14,-0.004517557865420205
EUR-ESTRCMP-3M,2017-11-15,-0.004517393737733675
EUR-ESTRCMP-3M,2017-11-16,-0.004517883579983352
EUR-ESTRCMP-3M,2017-11-17,-0.004517992151496436
EUR-ESTRCMP-3M,2017-11-20,-0.004517992151498174
EUR-ESTRCMP-3M,2017-11-21,-0.004518209294516957
EUR-ESTRCMP-3M,2017-11-22,-0.0045186688594733605
EUR-ESTRCMP-3M,2017-11-23,-0.0045194036054306014
EUR-ESTRCMP-3M,2017-11-24,-0.004519946462750567
EUR-ESTRCMP-3M,2017-11-27,-0.004520222157426003
EUR-ESTRCMP-3M,2017-11-28,-0.0045206143412821476
EUR-ESTRCMP-3M,2017-11-29,-0.004520170393506273
EUR-ESTRCMP-3M,2017-11-30,-0.0045206612375560595
EUR-ESTRCMP-3M,2017-12-01,-0.004520947318702007
EUR-ESTRCMP-3M,2017-12-04,-0.004521391266366859
EUR-ESTRCMP-3M,2017-12-05,-0.004521724227082746
EUR-ESTRCMP-3M,2017-12-06,-0.004522057187756445
EUR-ESTRCMP-3M,2017-12-07,-0.004523076111589986
EUR-ESTRCMP-3M,2017-12-08,-0.0045235000420391636
EUR-ESTRCMP-3M,2017-12-11,-0.0045239439894095845
EUR-ESTRCMP-3M,2017-12-12,-0.004524498923558884
EUR-ESTRCMP-3M,2017-12-13,-0.004524942870819171
EUR-ESTRCMP-3M,2017-12-14,-0.004527027729519566
EUR-ESTRCMP-3M,2017-12-15,-0.004527495616666322
EUR-ESTRCMP-3M,2017-12-18,-0.004528161537057596
EUR-ESTRCMP-3M,2017-12-19,-0.004528827457315643
EUR-ESTRCMP-3M,2017-12-20,-0.004529493377464444
EUR-ESTRCMP-3M,2017-12-21,-0.004529821956116731
EUR-ESTRCMP-3M,2017-12-22,-0.004530043929450667
EUR-ESTRCMP-3M,2017-12-27,-0.004530265902766839
EUR-ESTRCMP-3M,2017-12-28,-0.004523732705711477
EUR-ESTRCMP-3M,2017-12-29,-0.004524052953101876
EUR-ESTRCMP-3M,2018-01-02,-0.004524385913586837
EUR-ESTRCMP-3M,2018-01-03,-0.004524829860867996
EUR-ESTRCMP-3M,2018-01-04,-0.004524830363827966
EUR-ESTRCMP-3M,2018-01-05,-0.004525051834491478
EUR-ESTRCMP-3M,2018-01-08,-0.004525162821299666
EUR-ESTRCMP-3M,2018-01-09,-0.004525273808104746
EUR-ESTRCMP-3M,2018-01-10,-0.004525384794905385
EUR-ESTRCMP-3M,2018-01-11,-0.0045246108156856615
EUR-ESTRCMP-3M,2018-01-12,-0.00452427491000984
EUR-ESTRCMP-3M,2018-01-15,-0.004524163923171898
EUR-ESTRCMP-3M,2018-01-16,-0.004523830962654518
EUR-ESTRCMP-3M,2018-01-17,-0.004523608988967531
EUR-ESTRCMP-3M,2018-01-18,-0.004522525239892718
EUR-ESTRCMP-3M,2018-01-19,-0.004522499095116039
EUR-ESTRCMP-3M,2018-01-22,-0.004522166134467653
EUR-ESTRCMP-3M,2018-01-23,-0.004522277121355778
EUR-ESTRCMP-3M,2018-01-24,-0.004522277121355334
EUR-ESTRCMP-3M,2018-01-25,-0.0045209884927618505
EUR-ESTRCMP-3M,2018-01-26,-0.00452094525346558
EUR-ESTRCMP-3M,2018-01-29,-0.004521012638116523
EUR-ESTRCMP-3M,2018-01-30,-0.004520501930071585
EUR-ESTRCMP-3M,2018-01-31,-0.004520227621738329
EUR-ESTRCMP-3M,2018-02-01,-0.004518903524379293
EUR-ESTRCMP-3M,2018-02-02,-0.004518948079220042
EUR-ESTRCMP-3M,2018-02-05,-0.004519105233780473
EUR-ESTRCMP-3M,2018-02-06,-0.004519217469209962
EUR-ESTRCMP-3M,2018-02-07,-0.004518992998356373
EUR-ESTRCMP-3M,2018-02-08,-0.004518464460533353
