Reference,Date,Value
EUR-EURIBOR-3M,2019-12-31,-0.00383
EUR-EURIBOR-3M,2019-12-30,-0.00388
EUR-EURIBOR-3M,2019-12-27,-0.0039
EUR-EURIBOR-3M,2019-12-24,-0.00398
EUR-EURIBOR-3M,2019-12-23,-0.00399
EUR-EURIBOR-3M,2019-12-20,-0.00388
EUR-EURIBOR-3M,2019-12-19,-0.00398
EUR-EURIBOR-3M,2019-12-18,-0.00403
EUR-EURIBOR-3M,2019-12-17,-0.004
EUR-EURIBOR-3M,2019-12-16,-0.00396
EUR-EURIBOR-3M,2019-12-13,-0.004
EUR-EURIBOR-3M,2019-12-12,-0.00395
EUR-EURIBOR-3M,2019-12-11,-0.00393
EUR-EURIBOR-3M,2019-12-10,-0.00393
EUR-EURIBOR-3M,2019-12-09,-0.00392
EUR-EURIBOR-3M,2019-12-06,-0.00393
EUR-EURIBOR-3M,2019-12-05,-0.00395
EUR-EURIBOR-3M,2019-12-04,-0.00393
EUR-EURIBOR-3M,2019-12-03,-0.00397
EUR-EURIBOR-3M,2019-12-02,-0.004
EUR-EURIBOR-3M,2019-11-29,-0.00401
EUR-EURIBOR-3M,2019-11-28,-0.00397
EUR-EURIBOR-3M,2019-11-27,-0.004
EUR-EURIBOR-3M,2019-11-26,-0.00399
EUR-EURIBOR-3M,2019-11-25,-0.00404
EUR-EURIBOR-3M,2019-11-22,-0.00403
EUR-EURIBOR-3M,2019-11-21,-0.00408
EUR-EURIBOR-3M,2019-11-20,-0.00406
EUR-EURIBOR-3M,2019-11-19,-0.00408
EUR-EURIBOR-3M,2019-11-18,-0.00403
EUR-EURIBOR-3M,2019-11-15,-0.00404
EUR-EURIBOR-3M,2019-11-14,-0.00399
EUR-EURIBOR-3M,2019-11-13,-0.00402
EUR-EURIBOR-3M,2019-11-12,-0.00398
EUR-EURIBOR-3M,2019-11-11,-0.00394
EUR-EURIBOR-3M,2019-11-08,-0.00395
EUR-EURIBOR-3M,2019-11-07,-0.004
EUR-EURIBOR-3M,2019-11-06,-0.00406
EUR-EURIBOR-3M,2019-11-05,-0.00403
EUR-EURIBOR-3M,2019-11-04,-0.00398
EUR-EURIBOR-3M,2019-11-01,-0.00399
EUR-EURIBOR-3M,2019-10-31,-0.00394
EUR-EURIBOR-3M,2019-10-30,-0.00401
EUR-EURIBOR-3M,2019-10-29,-0.00405
EUR-EURIBOR-3M,2019-10-28,-0.00409
EUR-EURIBOR-3M,2019-10-25,-0.00413
