Reference,Date,Value
EUR-LIBOR-1M,2020-01-07,-0.0051843
EUR-LIBOR-1M,2020-01-06,-0.0052286
EUR-LIBOR-1M,2020-01-03,-0.0052086
EUR-LIBOR-1M,2020-01-02,-0.0051243
EUR-LIBOR-1M,2019-12-31,-0.0051357
EUR-LIBOR-1M,2019-12-30,-0.00507
EUR-LIBOR-1M,2019-12-27,-0.0051414
EUR-LIBOR-1M,2019-12-24,-0.0052014
EUR-LIBOR-1M,2019-12-23,-0.0052043
EUR-LIBOR-1M,2019-12-20,-0.0050557
EUR-LIBOR-1M,2019-12-19,-0.00512
EUR-LIBOR-1M,2019-12-18,-0.00519
EUR-LIBOR-1M,2019-12-17,-0.0052357
EUR-LIBOR-1M,2019-12-16,-0.0052129
EUR-LIBOR-1M,2019-12-13,-0.0051814
EUR-LIBOR-1M,2019-12-12,-0.0052071
EUR-LIBOR-1M,2019-12-11,-0.0051743
EUR-LIBOR-1M,2019-12-10,-0.00513
EUR-LIBOR-1M,2019-12-09,-0.0051329
EUR-LIBOR-1M,2019-12-06,-0.0051143
EUR-LIBOR-1M,2019-12-05,-0.0050829
EUR-LIBOR-1M,2019-12-04,-0.0051114
EUR-LIBOR-1M,2019-12-03,-0.0052014
EUR-LIBOR-1M,2019-12-02,-0.0051443
EUR-LIBOR-1M,2019-11-29,-0.0051557
EUR-LIBOR-1M,2019-11-28,-0.0051286
EUR-LIBOR-1M,2019-11-27,-0.0050029
EUR-LIBOR-1M,2019-11-26,-0.0050114
EUR-LIBOR-1M,2019-11-25,-0.0050286
EUR-LIBOR-1M,2019-11-22,-0.0050071
EUR-LIBOR-1M,2019-11-21,-0.0050043
EUR-LIBOR-1M,2019-11-20,-0.0050057
EUR-LIBOR-1M,2019-11-19,-0.0050114
EUR-LIBOR-1M,2019-11-18,-0.0050343
EUR-LIBOR-1M,2019-11-15,-0.0050257
EUR-LIBOR-1M,2019-11-14,-0.0050229
EUR-LIBOR-1M,2019-11-13,-0.0050157
EUR-LIBOR-1M,2019-11-12,-0.0050529
EUR-LIBOR-1M,2019-11-11,-0.0050471
EUR-LIBOR-1M,2019-11-08,-0.00504
EUR-LIBOR-1M,2019-11-07,-0.0050457
EUR-LIBOR-1M,2019-11-06,-0.0050471
EUR-LIBOR-1M,2019-11-05,-0.0050414
EUR-LIBOR-1M,2019-11-04,-0.0050714
EUR-LIBOR-1M,2019-11-01,-0.0051257
EUR-LIBOR-1M,2019-10-31,-0.0051457
EUR-LIBOR-1M,2019-10-30,-0.0050829
EUR-LIBOR-1M,2019-10-29,-0.0050457
EUR-LIBOR-1M,2019-10-28,-0.0050229
EUR-LIBOR-1M,2019-10-25,-0.00497
EUR-LIBOR-1M,2019-10-24,-0.0049729
EUR-LIBOR-1M,2019-10-23,-0.00498
EUR-LIBOR-1M,2019-10-22,-0.0049643
EUR-LIBOR-1M,2019-10-21,-0.0050086
EUR-LIBOR-1M,2019-10-18,-0.0049871
EUR-LIBOR-1M,2019-10-17,-0.0050286
