Reference	Date	Value
EUR-LIBOR-6M	2020-01-07	-0.0037814
EUR-LIBOR-6M	2020-01-06	-0.0037229
EUR-LIBOR-6M	2020-01-03	-0.0037157
EUR-LIBOR-6M	2020-01-02	-0.0036586
EUR-LIBOR-6M	2019-12-31	-0.0037414
EUR-LIBOR-6M	2019-12-30	-0.0037414
EUR-LIBOR-6M	2019-12-27	-0.0037686
EUR-LIBOR-6M	2019-12-24	-0.0037743
EUR-LIBOR-6M	2019-12-23	-0.0037814
EUR-LIBOR-6M	2019-12-20	-0.0037914
EUR-LIBOR-6M	2019-12-19	-0.0037986
EUR-LIBOR-6M	2019-12-18	-0.0038457
EUR-LIBOR-6M	2019-12-17	-0.0038686
EUR-LIBOR-6M	2019-12-16	-0.0038629
EUR-LIBOR-6M	2019-12-13	-0.0038957
EUR-LIBOR-6M	2019-12-12	-0.0039057
EUR-LIBOR-6M	2019-12-11	-0.0039457
EUR-LIBOR-6M	2019-12-10	-0.0038786
EUR-LIBOR-6M	2019-12-09	-0.00399
EUR-LIBOR-6M	2019-12-06	-0.0039714
EUR-LIBOR-6M	2019-12-05	-0.0039571
EUR-LIBOR-6M	2019-12-04	-0.0039543
EUR-LIBOR-6M	2019-12-03	-0.0039286
EUR-LIBOR-6M	2019-12-02	-0.0039386
EUR-LIBOR-6M	2019-11-29	-0.0039457
EUR-LIBOR-6M	2019-11-28	-0.0039586
EUR-LIBOR-6M	2019-11-27	-0.0039657
EUR-LIBOR-6M	2019-11-26	-0.0039829
EUR-LIBOR-6M	2019-11-25	-0.00398
EUR-LIBOR-6M	2019-11-22	-0.0039943
EUR-LIBOR-6M	2019-11-21	-0.0040143
EUR-LIBOR-6M	2019-11-20	-0.0039629
EUR-LIBOR-6M	2019-11-19	-0.0039714
EUR-LIBOR-6M	2019-11-18	-0.0039686
EUR-LIBOR-6M	2019-11-15	-0.0039486
EUR-LIBOR-6M	2019-11-14	-0.0039414
EUR-LIBOR-6M	2019-11-13	-0.00395
EUR-LIBOR-6M	2019-11-12	-0.0039114
EUR-LIBOR-6M	2019-11-11	-0.0039086
EUR-LIBOR-6M	2019-11-08	-0.00389
EUR-LIBOR-6M	2019-11-07	-0.0039057
EUR-LIBOR-6M	2019-11-06	-0.00397
EUR-LIBOR-6M	2019-11-05	-0.0040614
EUR-LIBOR-6M	2019-11-04	-0.0040886
EUR-LIBOR-6M	2019-11-01	-0.0040871
EUR-LIBOR-6M	2019-10-31	-0.0040471
EUR-LIBOR-6M	2019-10-30	-0.0040129
EUR-LIBOR-6M	2019-10-29	-0.0040157
EUR-LIBOR-6M	2019-10-28	-0.0040243
EUR-LIBOR-6M	2019-10-25	-0.0040457
EUR-LIBOR-6M	2019-10-24	-0.0040571
EUR-LIBOR-6M	2019-10-23	-0.0040557
EUR-LIBOR-6M	2019-10-22	-0.0040271
EUR-LIBOR-6M	2019-10-21	-0.0040243
EUR-LIBOR-6M	2019-10-18	-0.004107
EUR-LIBOR-6M	2019-10-17	-0.0041
EUR-LIBOR-6M	2019-10-16	-0.0040686
EUR-LIBOR-6M	2019-10-15	-0.0040643
EUR-LIBOR-6M	2019-10-14	-0.0041114
EUR-LIBOR-6M	2019-10-11	-0.0041629
EUR-LIBOR-6M	2019-10-10	-0.0042086
EUR-LIBOR-6M	2019-10-09	-0.0042271
EUR-LIBOR-6M	2019-10-08	-0.0042386
EUR-LIBOR-6M	2019-10-07	-0.0042786
EUR-LIBOR-6M	2019-10-04	-0.0042586
EUR-LIBOR-6M	2019-10-03	-0.0042643
EUR-LIBOR-6M	2019-10-02	-0.0042429
EUR-LIBOR-6M	2019-10-01	-0.0042229
EUR-LIBOR-6M	2019-09-30	-0.0041614
EUR-LIBOR-6M	2019-09-27	-0.0041557
EUR-LIBOR-6M	2019-09-26	-0.00417
EUR-LIBOR-6M	2019-09-25	-0.0041957
EUR-LIBOR-6M	2019-09-24	-0.0040986
EUR-LIBOR-6M	2019-09-23	-0.0040529
EUR-LIBOR-6M	2019-09-20	-0.00408
EUR-LIBOR-6M	2019-09-19	-0.0040571
EUR-LIBOR-6M	2019-09-18	-0.0040129
EUR-LIBOR-6M	2019-09-17	-0.0040129
EUR-LIBOR-6M	2019-09-16	-0.00399
EUR-LIBOR-6M	2019-09-13	-0.0039729
EUR-LIBOR-6M	2019-09-12	-0.0045586
EUR-LIBOR-6M	2019-09-11	-0.0045429
EUR-LIBOR-6M	2019-09-10	-0.0045714
EUR-LIBOR-6M	2019-09-09	-0.0045743
EUR-LIBOR-6M	2019-09-06	-0.0045743
EUR-LIBOR-6M	2019-09-05	-0.0046443
EUR-LIBOR-6M	2019-09-04	-0.0046329
EUR-LIBOR-6M	2019-09-03	-0.0047386
EUR-LIBOR-6M	2019-09-02	-0.0046529
EUR-LIBOR-6M	2019-08-30	-0.0046029
EUR-LIBOR-6M	2019-08-29	-0.0045714
EUR-LIBOR-6M	2019-08-28	-0.0045471
EUR-LIBOR-6M	2019-08-27	-0.0044229
EUR-LIBOR-6M	2019-08-23	-0.0044043
EUR-LIBOR-6M	2019-08-22	-0.0044057
EUR-LIBOR-6M	2019-08-21	-0.0045086
EUR-LIBOR-6M	2019-08-20	-0.0045071
EUR-LIBOR-6M	2019-08-19	-0.0044843
EUR-LIBOR-6M	2019-08-16	-0.0045171
EUR-LIBOR-6M	2019-08-15	-0.0044029
EUR-LIBOR-6M	2019-08-14	-0.00436
EUR-LIBOR-6M	2019-08-13	-0.0042886
EUR-LIBOR-6M	2019-08-12	-0.0043314
EUR-LIBOR-6M	2019-08-09	-0.0043071
EUR-LIBOR-6M	2019-08-08	-0.0043114
EUR-LIBOR-6M	2019-08-07	-0.0042929
EUR-LIBOR-6M	2019-08-06	-0.0043086
EUR-LIBOR-6M	2019-08-05	-0.0042557
EUR-LIBOR-6M	2019-08-02	-0.0041886
EUR-LIBOR-6M	2019-08-01	-0.00416
EUR-LIBOR-6M	2019-07-31	-0.0040786
EUR-LIBOR-6M	2019-07-30	-0.0040943
EUR-LIBOR-6M	2019-07-29	-0.0041029
EUR-LIBOR-6M	2019-07-26	-0.0041571
