Reference,Date,Value
GBP-SONIA,2021-02-02,0.000485
GBP-SONIA,2021-02-01,0.00048
GBP-SONIA,2021-01-29,0.000529
GBP-SONIA,2021-01-28,0.000487
GBP-SONIA,2021-01-27,0.000489
GBP-SONIA,2021-01-26,0.000489
GBP-SONIA,2021-01-25,0.000493
GBP-SONIA,2021-01-22,0.000496
GBP-SONIA,2021-01-21,0.000494
GBP-SONIA,2021-01-20,0.000492
GBP-SONIA,2021-01-19,0.0005
GBP-SONIA,2021-01-18,0.000495
GBP-SONIA,2021-01-15,0.000498
GBP-SONIA,2021-01-14,0.0005
GBP-SONIA,2021-01-13,0.000496
GBP-SONIA,2021-01-12,0.000487
GBP-SONIA,2021-01-11,0.000488
GBP-SONIA,2021-01-08,0.000497
GBP-SONIA,2021-01-07,0.000491
GBP-SONIA,2021-01-06,0.000488
GBP-SONIA,2021-01-05,0.000485
GBP-SONIA,2021-01-04,0.000479
GBP-SONIA,2020-12-31,0.000394
GBP-SONIA,2020-12-30,0.00048
GBP-SONIA,2020-12-29,0.000483
GBP-SONIA,2020-12-24,0.000474
GBP-SONIA,2020-12-23,0.000478
GBP-SONIA,2020-12-22,0.00048
GBP-SONIA,2020-12-21,0.000477
GBP-SONIA,2020-12-18,0.000483
GBP-SONIA,2020-12-17,0.000487
GBP-SONIA,2020-12-16,0.000478
GBP-SONIA,2020-12-15,0.000491
GBP-SONIA,2020-12-14,0.000494
GBP-SONIA,2020-12-11,0.000502
GBP-SONIA,2020-12-10,0.000508
GBP-SONIA,2020-12-09,0.000514
GBP-SONIA,2020-12-08,0.00051
GBP-SONIA,2020-12-07,0.00051
GBP-SONIA,2020-12-04,0.000513
GBP-SONIA,2020-12-03,0.000519
GBP-SONIA,2020-12-02,0.000523
GBP-SONIA,2020-12-01,0.000528
GBP-SONIA,2020-11-30,0.00054
GBP-SONIA,2020-11-27,0.000542
GBP-SONIA,2020-11-26,0.000535
GBP-SONIA,2020-11-25,0.000535
GBP-SONIA,2020-11-24,0.000536
GBP-SONIA,2020-11-23,0.000536
GBP-SONIA,2020-11-20,0.000543
GBP-SONIA,2020-11-19,0.000536
GBP-SONIA,2020-11-18,0.000538
GBP-SONIA,2020-11-17,0.000533
GBP-SONIA,2020-11-16,0.000539
GBP-SONIA,2020-11-13,0.000536
GBP-SONIA,2020-11-12,0.000542
GBP-SONIA,2020-11-11,0.000535
