Reference, Date, Value
USD-FED-FUNDCMP-6M,2000-01-03,0.061221699835399275
USD-FED-FUNDCMP-6M,2000-01-04,0.061221699835399275
USD-FED-FUNDCMP-6M,2000-01-05,0.061276637669064854
USD-FED-FUNDCMP-6M,2000-01-06,0.061414226003077894
USD-FED-FUNDCMP-6M,2000-01-07,0.06145784032337694
USD-FED-FUNDCMP-6M,2000-01-10,0.061500889276054696
USD-FED-FUNDCMP-6M,2000-01-11,0.06154563852374581
USD-FED-FUNDCMP-6M,2000-01-12,0.06159775272957567
USD-FED-FUNDCMP-6M,2000-01-13,0.061817078598447026
USD-FED-FUNDCMP-6M,2000-01-14,0.061817078598447026
USD-FED-FUNDCMP-6M,2000-01-17,0.06185333653212446
USD-FED-FUNDCMP-6M,2000-01-18,0.06190885803505856
USD-FED-FUNDCMP-6M,2000-01-19,0.061970046713851354
USD-FED-FUNDCMP-6M,2000-01-20,0.06216545866555183
USD-FED-FUNDCMP-6M,2000-01-21,0.06222155520300878
USD-FED-FUNDCMP-6M,2000-01-24,0.06227822004032258
USD-FED-FUNDCMP-6M,2000-01-25,0.06233318636748758
USD-FED-FUNDCMP-6M,2000-01-26,0.06238475397596764
USD-FED-FUNDCMP-6M,2000-01-27,0.06253091516014186
USD-FED-FUNDCMP-6M,2000-01-28,0.06257455320382285
USD-FED-FUNDCMP-6M,2000-01-31,0.06261535857158408
USD-FED-FUNDCMP-6M,2000-02-01,0.06265956545479746
USD-FED-FUNDCMP-6M,2000-02-02,0.06270150614537644
USD-FED-FUNDCMP-6M,2000-02-03,0.06282729101242256
USD-FED-FUNDCMP-6M,2000-02-04,0.06286696784436031
USD-FED-FUNDCMP-6M,2000-02-07,0.0629106133170956
USD-FED-FUNDCMP-6M,2000-02-08,0.06295142543898288
USD-FED-FUNDCMP-6M,2000-02-09,0.06299280518886576
USD-FED-FUNDCMP-6M,2000-02-10,0.06312710808963114
USD-FED-FUNDCMP-6M,2000-02-11,0.06317189276948494
USD-FED-FUNDCMP-6M,2000-02-14,0.0632161114511489
USD-FED-FUNDCMP-6M,2000-02-15,0.06326203207566457
USD-FED-FUNDCMP-6M,2000-02-16,0.06330795374598236
USD-FED-FUNDCMP-6M,2000-02-17,0.06347815397262573
USD-FED-FUNDCMP-6M,2000-02-18,0.06347815397262573
USD-FED-FUNDCMP-6M,2000-02-21,0.0635127404763171
USD-FED-FUNDCMP-6M,2000-02-22,0.06355413162958501
USD-FED-FUNDCMP-6M,2000-02-23,0.06359949272980081
USD-FED-FUNDCMP-6M,2000-02-24,0.06375953037314067
USD-FED-FUNDCMP-6M,2000-02-25,0.06381755999296627
USD-FED-FUNDCMP-6M,2000-02-28,0.06386244912735327
USD-FED-FUNDCMP-6M,2000-02-29,0.06395873300584054
USD-FED-FUNDCMP-6M,2000-03-01,0.06398268251322964
USD-FED-FUNDCMP-6M,2000-03-02,0.06408610480474847
USD-FED-FUNDCMP-6M,2000-03-03,0.06413268362735307
USD-FED-FUNDCMP-6M,2000-03-06,0.06418038599707214
USD-FED-FUNDCMP-6M,2000-03-07,0.06425253867383884
USD-FED-FUNDCMP-6M,2000-03-08,0.06427653891071525
USD-FED-FUNDCMP-6M,2000-03-09,0.06438575657253694
USD-FED-FUNDCMP-6M,2000-03-10,0.06442280056480147
USD-FED-FUNDCMP-6M,2000-03-13,0.06446209037860215
USD-FED-FUNDCMP-6M,2000-03-14,0.06453242800408379
USD-FED-FUNDCMP-6M,2000-03-15,0.0645590126722608
USD-FED-FUNDCMP-6M,2000-03-16,0.06466075083927444
USD-FED-FUNDCMP-6M,2000-03-17,0.06469892255965422
USD-FED-FUNDCMP-6M,2000-03-20,0.06473934044989194
USD-FED-FUNDCMP-6M,2000-03-21,0.06478847315145328
USD-FED-FUNDCMP-6M,2000-03-22,0.06480132240607848
USD-FED-FUNDCMP-6M,2000-03-23,0.06487853438162967
USD-FED-FUNDCMP-6M,2000-03-24,0.06490267481455277
USD-FED-FUNDCMP-6M,2000-03-27,0.0649346753499065
USD-FED-FUNDCMP-6M,2000-03-28,0.06495194444549199
USD-FED-FUNDCMP-6M,2000-03-29,0.0649620834662475
USD-FED-FUNDCMP-6M,2000-03-30,0.06505689791036394
USD-FED-FUNDCMP-6M,2000-03-31,0.06507439502416243
USD-FED-FUNDCMP-6M,2000-04-03,0.0651043098433154
USD-FED-FUNDCMP-6M,2000-04-04,0.0651302739586885
USD-FED-FUNDCMP-6M,2000-04-05,0.06517214145718797
USD-FED-FUNDCMP-6M,2000-04-06,0.06523278279458077
USD-FED-FUNDCMP-6M,2000-04-07,0.06526213541356142
USD-FED-FUNDCMP-6M,2000-04-10,0.06528979507313007
USD-FED-FUNDCMP-6M,2000-04-11,0.0653202775956301
USD-FED-FUNDCMP-6M,2000-04-12,0.06536292187660964
USD-FED-FUNDCMP-6M,2000-04-13,0.06541960860420304
USD-FED-FUNDCMP-6M,2000-04-14,0.0654348507330622
USD-FED-FUNDCMP-6M,2000-04-17,0.06546872261970328
USD-FED-FUNDCMP-6M,2000-04-18,0.06550315961163194
USD-FED-FUNDCMP-6M,2000-04-19,0.06565838286547712
USD-FED-FUNDCMP-6M,2000-04-20,0.06568887086507179
USD-FED-FUNDCMP-6M,2000-04-25,0.065718794712553
USD-FED-FUNDCMP-6M,2000-04-26,0.0657766839933877
USD-FED-FUNDCMP-6M,2000-04-27,0.06586539229552904
USD-FED-FUNDCMP-6M,2000-04-28,0.06589291460620474
USD-FED-FUNDCMP-6M,2000-05-02,0.06592840105161869
USD-FED-FUNDCMP-6M,2000-05-03,0.06594666105724407
USD-FED-FUNDCMP-6M,2000-05-04,0.0660327475401684
USD-FED-FUNDCMP-6M,2000-05-05,0.06606083388584325
USD-FED-FUNDCMP-6M,2000-05-08,0.06609453805293006
USD-FED-FUNDCMP-6M,2000-05-09,0.06613348979216034
USD-FED-FUNDCMP-6M,2000-05-10,0.06615282373878753
USD-FED-FUNDCMP-6M,2000-05-11,0.06621697925244807
USD-FED-FUNDCMP-6M,2000-05-12,0.0662321471216044
USD-FED-FUNDCMP-6M,2000-05-15,0.06625574189927563
USD-FED-FUNDCMP-6M,2000-05-16,0.06627634143256525
USD-FED-FUNDCMP-6M,2000-05-17,0.06627183377706275
USD-FED-FUNDCMP-6M,2000-05-18,0.06626641764148807
USD-FED-FUNDCMP-6M,2000-05-19,0.06627922891976118
USD-FED-FUNDCMP-6M,2000-05-22,0.06627590043352402
USD-FED-FUNDCMP-6M,2000-05-23,0.06628517090332536
USD-FED-FUNDCMP-6M,2000-05-24,0.06627679742452208
USD-FED-FUNDCMP-6M,2000-05-25,0.06629237857738951
USD-FED-FUNDCMP-6M,2000-05-26,0.06627561230783345
USD-FED-FUNDCMP-6M,2000-05-30,0.06626375254032223
USD-FED-FUNDCMP-6M,2000-05-31,0.06628200576261241
USD-FED-FUNDCMP-6M,2000-06-01,0.06628633295925317
USD-FED-FUNDCMP-6M,2000-06-02,0.06628633295925099
USD-FED-FUNDCMP-6M,2000-06-05,0.06628689771870898
USD-FED-FUNDCMP-6M,2000-06-06,0.06628633295956506
USD-FED-FUNDCMP-6M,2000-06-07,0.06628871019075458
USD-FED-FUNDCMP-6M,2000-06-08,0.066283509167764
USD-FED-FUNDCMP-6M,2000-06-09,0.06627729683443297
USD-FED-FUNDCMP-6M,2000-06-12,0.06627786159153788
USD-FED-FUNDCMP-6M,2000-06-13,0.06627729683553112
USD-FED-FUNDCMP-6M,2000-06-14,0.066289262379038
USD-FED-FUNDCMP-6M,2000-06-15,0.06628632561887655
USD-FED-FUNDCMP-6M,2000-06-16,0.06628406658355972
USD-FED-FUNDCMP-6M,2000-06-19,0.06628293706652942
USD-FED-FUNDCMP-6M,2000-06-20,0.06628350182504784
USD-FED-FUNDCMP-6M,2000-06-21,0.06629294644642672
USD-FED-FUNDCMP-6M,2000-06-22,0.06627644169060795
USD-FED-FUNDCMP-6M,2000-06-23,0.0662641093165439
USD-FED-FUNDCMP-6M,2000-06-26,0.06626241506092417
USD-FED-FUNDCMP-6M,2000-06-27,0.06626410931795786
USD-FED-FUNDCMP-6M,2000-06-28,0.06624433004617605
USD-FED-FUNDCMP-6M,2000-06-29,0.06595843820407787
USD-FED-FUNDCMP-6M,2000-06-30,0.06585797389655827
USD-FED-FUNDCMP-6M,2000-07-03,0.06585797389655827
USD-FED-FUNDCMP-6M,2000-07-04,0.06575935079274216
USD-FED-FUNDCMP-6M,2000-07-05,0.06575102487408274
USD-FED-FUNDCMP-6M,2000-07-06,0.06569681314898812
USD-FED-FUNDCMP-6M,2000-07-07,0.06567153998731293
USD-FED-FUNDCMP-6M,2000-07-10,0.0656524448846165
