Reference,Date,Value
USD-LIBOR-3M,2021-01-29,0.0020188
USD-LIBOR-3M,2021-01-28,0.00205
USD-LIBOR-3M,2021-01-27,0.002115
USD-LIBOR-3M,2021-01-26,0.002185
USD-LIBOR-3M,2021-01-25,0.0021288
USD-LIBOR-3M,2021-01-22,0.0021525
USD-LIBOR-3M,2021-01-21,0.0021775
USD-LIBOR-3M,2021-01-20,0.0022238
USD-LIBOR-3M,2021-01-19,0.0022363
USD-LIBOR-3M,2021-01-18,0.00224
USD-LIBOR-3M,2021-01-15,0.0022338
USD-LIBOR-3M,2021-01-14,0.0022563
USD-LIBOR-3M,2021-01-13,0.0024125
USD-LIBOR-3M,2021-01-12,0.0023375
USD-LIBOR-3M,2021-01-11,0.002245
USD-LIBOR-3M,2021-01-08,0.0022438
USD-LIBOR-3M,2021-01-07,0.0022475
USD-LIBOR-3M,2021-01-06,0.00234
USD-LIBOR-3M,2021-01-05,0.0023688
USD-LIBOR-3M,2021-01-04,0.0023725
USD-LIBOR-3M,2020-12-31,0.0023838
USD-LIBOR-3M,2020-12-30,0.002375
USD-LIBOR-3M,2020-12-29,0.0025388
USD-LIBOR-3M,2020-12-24,0.0024013
USD-LIBOR-3M,2020-12-23,0.00251
USD-LIBOR-3M,2020-12-22,0.0023813
USD-LIBOR-3M,2020-12-21,0.0024488
USD-LIBOR-3M,2020-12-18,0.0023575
USD-LIBOR-3M,2020-12-17,0.0023863
USD-LIBOR-3M,2020-12-16,0.0023638
USD-LIBOR-3M,2020-12-15,0.0022875
USD-LIBOR-3M,2020-12-14,0.0021925
USD-LIBOR-3M,2020-12-11,0.002165
USD-LIBOR-3M,2020-12-10,0.002195
USD-LIBOR-3M,2020-12-09,0.0022063
USD-LIBOR-3M,2020-12-08,0.0023
USD-LIBOR-3M,2020-12-07,0.0023038
USD-LIBOR-3M,2020-12-03,0.0022538
USD-LIBOR-3M,2020-12-02,0.002305
USD-LIBOR-3M,2020-12-01,0.00232
USD-LIBOR-3M,2020-11-30,0.0022763
USD-LIBOR-3M,2020-11-27,0.0022538
USD-LIBOR-3M,2020-11-26,0.0022438
USD-LIBOR-3M,2020-11-25,0.00233
USD-LIBOR-3M,2020-11-24,0.0023225
USD-LIBOR-3M,2020-11-23,0.002065
USD-LIBOR-3M,2020-11-20,0.0020488
USD-LIBOR-3M,2020-11-19,0.0021263
USD-LIBOR-3M,2020-11-18,0.0022375
USD-LIBOR-3M,2020-11-17,0.00231
USD-LIBOR-3M,2020-11-16,0.0022038
USD-LIBOR-3M,2020-11-13,0.00222
USD-LIBOR-3M,2020-11-12,0.00221
USD-LIBOR-3M,2020-11-11,0.0022063
USD-LIBOR-3M,2020-11-10,0.0021363
USD-LIBOR-3M,2020-11-09,0.00205
