Reference, Date, Value
USD-LIBOR-6M,2019-08-16,0.0201675
USD-LIBOR-6M,2019-08-15,0.02014
USD-LIBOR-6M,2019-08-14,0.0207988
USD-LIBOR-6M,2019-08-13,0.02034
USD-LIBOR-6M,2019-08-12,0.0205763
USD-LIBOR-6M,2019-08-09,0.02052
USD-LIBOR-6M,2019-08-08,0.0205025
USD-LIBOR-6M,2019-08-07,0.0204763
USD-LIBOR-6M,2019-08-06,0.0205113
USD-LIBOR-6M,2019-08-05,0.0208588
USD-LIBOR-6M,2019-08-02,0.02133
USD-LIBOR-6M,2019-08-01,0.0222688
USD-LIBOR-6M,2019-07-31,0.0220688
USD-LIBOR-6M,2019-07-30,0.0219163
USD-LIBOR-6M,2019-07-29,0.0219625
USD-LIBOR-6M,2019-07-26,0.0220488
USD-LIBOR-6M,2019-07-25,0.021775
USD-LIBOR-6M,2019-07-24,0.0218313
USD-LIBOR-6M,2019-07-23,0.0218488
USD-LIBOR-6M,2019-07-22,0.0218075
USD-LIBOR-6M,2019-07-19,0.0214425
USD-LIBOR-6M,2019-07-18,0.0217425
USD-LIBOR-6M,2019-07-17,0.0219875
USD-LIBOR-6M,2019-07-16,0.02207
USD-LIBOR-6M,2019-07-15,0.0221713
USD-LIBOR-6M,2019-07-12,0.0222925
USD-LIBOR-6M,2019-07-11,0.0221263
USD-LIBOR-6M,2019-07-10,0.0226238
USD-LIBOR-6M,2019-07-09,0.0225675
USD-LIBOR-6M,2019-07-08,0.022565
USD-LIBOR-6M,2019-07-05,0.0220975
USD-LIBOR-6M,2019-07-04,0.0220063
USD-LIBOR-6M,2019-07-03,0.0220888
USD-LIBOR-6M,2019-07-02,0.0222638
USD-LIBOR-6M,2019-07-01,0.022185
USD-LIBOR-6M,2019-06-28,0.022005
USD-LIBOR-6M,2019-06-27,0.0221338
USD-LIBOR-6M,2019-06-26,0.0219975
USD-LIBOR-6M,2019-06-25,0.0218275
USD-LIBOR-6M,2019-06-24,0.0220988
USD-LIBOR-6M,2019-06-21,0.0222013
USD-LIBOR-6M,2019-06-20,0.0221675
USD-LIBOR-6M,2019-06-19,0.023
USD-LIBOR-6M,2019-06-18,0.02298
USD-LIBOR-6M,2019-06-17,0.0230875
USD-LIBOR-6M,2019-06-14,0.0227738
USD-LIBOR-6M,2019-06-13,0.0231838
USD-LIBOR-6M,2019-06-12,0.0234163
USD-LIBOR-6M,2019-06-11,0.02352
USD-LIBOR-6M,2019-06-10,0.0234875
USD-LIBOR-6M,2019-06-07,0.0237175
USD-LIBOR-6M,2019-06-06,0.0237788
USD-LIBOR-6M,2019-06-05,0.0240838
USD-LIBOR-6M,2019-06-04,0.0242425
USD-LIBOR-6M,2019-06-03,0.024555
USD-LIBOR-6M,2019-05-31,0.0251663
USD-LIBOR-6M,2019-05-30,0.0254375
USD-LIBOR-6M,2019-05-29,0.0252438
USD-LIBOR-6M,2019-05-28,0.0254125
USD-LIBOR-6M,2019-05-24,0.0254863
USD-LIBOR-6M,2019-05-23,0.0256013
USD-LIBOR-6M,2019-05-22,0.0257063
USD-LIBOR-6M,2019-05-21,0.0256325
USD-LIBOR-6M,2019-05-20,0.0255975
USD-LIBOR-6M,2019-05-17,0.0255375
USD-LIBOR-6M,2019-05-16,0.025515
USD-LIBOR-6M,2019-05-15,0.0255088
USD-LIBOR-6M,2019-05-14,0.0255088
USD-LIBOR-6M,2019-05-13,0.0258763
USD-LIBOR-6M,2019-05-10,0.02587
USD-LIBOR-6M,2019-05-09,0.0258163
USD-LIBOR-6M,2019-05-08,0.0258225
USD-LIBOR-6M,2019-05-07,0.0259438
USD-LIBOR-6M,2019-05-03,0.0261738
USD-LIBOR-6M,2019-05-02,0.026385
USD-LIBOR-6M,2019-05-01,0.026115
