Reference,Date,Value
USD-SOFR,2020-12-02,0.0008
USD-SOFR,2020-12-01,0.0008
USD-SOFR,2020-11-30,0.0009
USD-SOFR,2020-11-27,0.0008
USD-SOFR,2020-11-25,0.0008
USD-SOFR,2020-11-24,0.0007
USD-SOFR,2020-11-23,0.0005
USD-SOFR,2020-11-20,0.0005
USD-SOFR,2020-11-19,0.0006
USD-SOFR,2020-11-18,0.0007
USD-SOFR,2020-11-17,0.0009
USD-SOFR,2020-11-16,0.001
USD-SOFR,2020-11-13,0.0009
USD-SOFR,2020-11-12,0.0009
USD-SOFR,2020-11-10,0.001
USD-SOFR,2020-11-09,0.001
USD-SOFR,2020-11-06,0.001
USD-SOFR,2020-11-05,0.0011
USD-SOFR,2020-11-04,0.001
USD-SOFR,2020-11-03,0.001
USD-SOFR,2020-11-02,0.0011
USD-SOFR,2020-10-30,0.0009
USD-SOFR,2020-10-29,0.0009
USD-SOFR,2020-10-28,0.0008
USD-SOFR,2020-10-27,0.0009
USD-SOFR,2020-10-26,0.0009
USD-SOFR,2020-10-23,0.0008
USD-SOFR,2020-10-22,0.0007
USD-SOFR,2020-10-21,0.0007
USD-SOFR,2020-10-20,0.0008
USD-SOFR,2020-10-19,0.0009
USD-SOFR,2020-10-16,0.0009
USD-SOFR,2020-10-15,0.001
USD-SOFR,2020-10-14,0.0009
USD-SOFR,2020-10-13,0.0009
USD-SOFR,2020-10-09,0.0009
USD-SOFR,2020-10-08,0.0008
USD-SOFR,2020-10-07,0.0009
USD-SOFR,2020-10-06,0.001
USD-SOFR,2020-10-05,0.0009
USD-SOFR,2020-10-02,0.001
USD-SOFR,2020-10-01,0.0008
USD-SOFR,2020-09-30,0.0008
USD-SOFR,2020-09-29,0.0007
USD-SOFR,2020-09-28,0.0008
USD-SOFR,2020-09-25,0.0008
USD-SOFR,2020-09-24,0.0007
USD-SOFR,2020-09-23,0.0006
USD-SOFR,2020-09-22,0.0007
USD-SOFR,2020-09-21,0.0008
USD-SOFR,2020-09-18,0.0009
USD-SOFR,2020-09-17,0.001
USD-SOFR,2020-09-16,0.001
USD-SOFR,2020-09-15,0.001
USD-SOFR,2020-09-14,0.0009
USD-SOFR,11/09/2020,0.0009
USD-SOFR,10/09/2020,0.0009
USD-SOFR,09/09/2020,0.0009
USD-SOFR,08/09/2020,0.0009
USD-SOFR,04/09/2020,0.0009
USD-SOFR,03/09/2020,0.001
USD-SOFR,02/09/2020,0.0009
