Reference,Date,Value
USD-SOFR,2019-11-07,0.0156
USD-SOFR,2019-11-06,0.0157
USD-SOFR,2019-11-05,0.0158
USD-SOFR,2019-11-04,0.0156
USD-SOFR,2019-11-01,0.0158
USD-SOFR,2019-10-31,0.0176
USD-SOFR,2019-10-30,0.0182
USD-SOFR,2019-10-29,0.0181
USD-SOFR,2019-10-28,0.0182
USD-SOFR,2019-10-25,0.0184
USD-SOFR,2019-10-24,0.0186
USD-SOFR,2019-10-23,0.0187
USD-SOFR,2019-10-22,0.0187
USD-SOFR,2019-10-21,0.0186
USD-SOFR,2019-10-18,0.0188
USD-SOFR,2019-10-17,0.0195
USD-SOFR,2019-10-16,0.0205
USD-SOFR,2019-10-15,0.02
USD-SOFR,2019-10-11,0.0185
USD-SOFR,2019-10-10,0.0185
USD-SOFR,2019-10-09,0.0185
USD-SOFR,2019-10-08,0.0185
USD-SOFR,2019-10-07,0.0183
USD-SOFR,2019-10-04,0.0182
USD-SOFR,2019-10-03,0.0184
USD-SOFR,2019-10-02,0.0185
USD-SOFR,2019-10-01,0.0188
USD-SOFR,2019-09-30,0.0235
USD-SOFR,2019-09-27,0.0182
USD-SOFR,2019-09-26,0.0185
USD-SOFR,2019-09-25,0.0201
USD-SOFR,2019-09-24,0.0196
USD-SOFR,2019-09-23,0.0185
USD-SOFR,2019-09-20,0.0186
USD-SOFR,2019-09-19,0.0195
USD-SOFR,2019-09-18,0.0255
USD-SOFR,2019-09-17,0.0525
USD-SOFR,2019-09-16,0.0243
USD-SOFR,2019-09-13,0.022
USD-SOFR,2019-09-12,0.022
USD-SOFR,2019-09-11,0.0215
USD-SOFR,2019-09-10,0.0214
USD-SOFR,2019-09-09,0.0212
USD-SOFR,2019-09-06,0.0215
USD-SOFR,2019-09-05,0.0221
USD-SOFR,2019-09-04,0.0221
USD-SOFR,2019-09-03,0.0217
USD-SOFR,2019-08-30,0.0216
USD-SOFR,2019-08-29,0.0212
USD-SOFR,2019-08-28,0.0212
USD-SOFR,2019-08-27,0.0215
USD-SOFR,2019-08-26,0.021
USD-SOFR,2019-08-23,0.021
USD-SOFR,2019-08-22,0.0209
USD-SOFR,2019-08-21,0.021
USD-SOFR,2019-08-20,0.0213
USD-SOFR,2019-08-19,0.0211
USD-SOFR,2019-08-16,0.0213
USD-SOFR,2019-08-15,0.0218
USD-SOFR,2019-08-14,0.0213
USD-SOFR,2019-08-13,0.0216
USD-SOFR,2019-08-12,0.0212
USD-SOFR,2019-08-09,0.0211
USD-SOFR,2019-08-08,0.0209
USD-SOFR,2019-08-07,0.021
USD-SOFR,2019-08-06,0.0211
USD-SOFR,2019-08-05,0.0213
USD-SOFR,2019-08-02,0.0219
USD-SOFR,2019-08-01,0.0219
USD-SOFR,2019-07-31,0.0255
USD-SOFR,2019-07-30,0.0239
USD-SOFR,2019-07-29,0.024
USD-SOFR,2019-07-26,0.0241
USD-SOFR,2019-07-25,0.0242
USD-SOFR,2019-07-24,0.0241
USD-SOFR,2019-07-23,0.024
USD-SOFR,2019-07-22,0.024
USD-SOFR,2019-07-19,0.0241
USD-SOFR,2019-07-18,0.0246
USD-SOFR,2019-07-17,0.0247
USD-SOFR,2019-07-16,0.0247
USD-SOFR,2019-07-15,0.0246
USD-SOFR,2019-07-12,0.0236
USD-SOFR,2019-07-11,0.0241
USD-SOFR,2019-07-10,0.0246
USD-SOFR,2019-07-09,0.0245
USD-SOFR,2019-07-08,0.0248
USD-SOFR,2019-07-05,0.0259
USD-SOFR,2019-07-03,0.0256
USD-SOFR,2019-07-02,0.0251
USD-SOFR,2019-07-01,0.0242
USD-SOFR,2019-06-28,0.025
USD-SOFR,2019-06-27,0.0242
USD-SOFR,2019-06-26,0.0243
USD-SOFR,2019-06-25,0.0241
USD-SOFR,2019-06-24,0.0239
USD-SOFR,2019-06-21,0.0237
USD-SOFR,2019-06-20,0.0236
USD-SOFR,2019-06-19,0.0236
USD-SOFR,2019-06-18,0.0239
USD-SOFR,2019-06-17,0.0241
USD-SOFR,2019-06-14,0.0235
USD-SOFR,2019-06-13,0.0235
USD-SOFR,2019-06-12,0.0237
USD-SOFR,2019-06-11,0.0238
USD-SOFR,2019-06-10,0.0239
USD-SOFR,2019-06-07,0.0239
USD-SOFR,2019-06-06,0.024
USD-SOFR,2019-06-05,0.024
USD-SOFR,2019-06-04,0.0239
USD-SOFR,2019-06-03,0.024
USD-SOFR,2019-05-31,0.0249
