Reference, Date, Value
USD-SOFRCMP-3M,2014-08-26,6.31E-04
USD-SOFRCMP-3M,2014-08-27,6.34E-04
USD-SOFRCMP-3M,2014-08-28,6.37E-04
USD-SOFRCMP-3M,2014-08-29,6.42E-04
USD-SOFRCMP-3M,2014-09-01,6.45E-04
USD-SOFRCMP-3M,2014-09-02,6.45E-04
USD-SOFRCMP-3M,2014-09-03,6.47E-04
USD-SOFRCMP-3M,2014-09-04,6.76E-04
USD-SOFRCMP-3M,2014-09-05,6.85E-04
USD-SOFRCMP-3M,2014-09-08,6.92E-04
USD-SOFRCMP-3M,2014-09-09,6.99E-04
USD-SOFRCMP-3M,2014-09-10,7.25E-04
USD-SOFRCMP-3M,2014-09-11,7.33E-04
USD-SOFRCMP-3M,2014-09-12,7.40E-04
USD-SOFRCMP-3M,2014-09-15,7.45E-04
USD-SOFRCMP-3M,2014-09-16,7.53E-04
USD-SOFRCMP-3M,2014-09-17,7.76E-04
USD-SOFRCMP-3M,2014-09-18,7.82E-04
USD-SOFRCMP-3M,2014-09-19,7.91E-04
USD-SOFRCMP-3M,2014-09-22,7.98E-04
USD-SOFRCMP-3M,2014-09-23,8.07E-04
USD-SOFRCMP-3M,2014-09-24,8.33E-04
USD-SOFRCMP-3M,2014-09-25,8.40E-04
USD-SOFRCMP-3M,2014-09-26,8.45E-04
USD-SOFRCMP-3M,2014-09-29,8.50E-04
USD-SOFRCMP-3M,2014-09-30,8.56E-04
USD-SOFRCMP-3M,2014-10-01,8.73E-04
USD-SOFRCMP-3M,2014-10-02,8.78E-04
USD-SOFRCMP-3M,2014-10-03,8.85E-04
USD-SOFRCMP-3M,2014-10-06,8.91E-04
USD-SOFRCMP-3M,2014-10-07,9.00E-04
USD-SOFRCMP-3M,2014-10-08,9.12E-04
USD-SOFRCMP-3M,2014-10-09,9.15E-04
USD-SOFRCMP-3M,2014-10-10,9.17E-04
USD-SOFRCMP-3M,2014-10-13,9.21E-04
USD-SOFRCMP-3M,2014-10-14,9.21E-04
USD-SOFRCMP-3M,2014-10-15,9.21E-04
USD-SOFRCMP-3M,2014-10-16,9.33E-04
USD-SOFRCMP-3M,2014-10-17,9.35E-04
USD-SOFRCMP-3M,2014-10-20,9.36E-04
USD-SOFRCMP-3M,2014-10-21,9.38E-04
USD-SOFRCMP-3M,2014-10-22,9.29E-04
USD-SOFRCMP-3M,2014-10-23,9.31E-04
USD-SOFRCMP-3M,2014-10-24,9.29E-04
USD-SOFRCMP-3M,2014-10-27,9.28E-04
USD-SOFRCMP-3M,2014-10-28,9.24E-04
USD-SOFRCMP-3M,2014-10-29,9.25E-04
USD-SOFRCMP-3M,2014-10-30,9.22E-04
USD-SOFRCMP-3M,2014-10-31,9.20E-04
USD-SOFRCMP-3M,2014-11-03,9.17E-04
USD-SOFRCMP-3M,2014-11-04,9.18E-04
USD-SOFRCMP-3M,2014-11-05,9.01E-04
USD-SOFRCMP-3M,2014-11-06,9.00E-04
USD-SOFRCMP-3M,2014-11-07,9.00E-04
USD-SOFRCMP-3M,2014-11-10,9.03E-04
USD-SOFRCMP-3M,2014-11-11,9.15E-04
USD-SOFRCMP-3M,2014-11-12,9.15E-04
USD-SOFRCMP-3M,2014-11-13,9.26E-04
USD-SOFRCMP-3M,2014-11-14,9.32E-04
USD-SOFRCMP-3M,2014-11-17,9.36E-04
USD-SOFRCMP-3M,2014-11-18,9.40E-04
USD-SOFRCMP-3M,2014-11-19,9.41E-04
USD-SOFRCMP-3M,2014-11-20,9.39E-04
USD-SOFRCMP-3M,2014-11-21,9.38E-04
USD-SOFRCMP-3M,2014-11-24,9.37E-04
USD-SOFRCMP-3M,2014-11-25,9.25E-04
USD-SOFRCMP-3M,2014-11-26,9.24E-04
USD-SOFRCMP-3M,2014-11-27,9.20E-04
USD-SOFRCMP-3M,2014-11-28,9.20E-04
USD-SOFRCMP-3M,2014-12-01,9.15E-04
USD-SOFRCMP-3M,2014-12-02,9.13E-04
USD-SOFRCMP-3M,2014-12-03,9.03E-04
USD-SOFRCMP-3M,2014-12-04,8.99E-04
USD-SOFRCMP-3M,2014-12-05,8.95E-04
USD-SOFRCMP-3M,2014-12-08,8.89E-04
USD-SOFRCMP-3M,2014-12-09,8.85E-04
USD-SOFRCMP-3M,2014-12-10,8.73E-04
USD-SOFRCMP-3M,2014-12-11,8.69E-04
USD-SOFRCMP-3M,2014-12-12,8.66E-04
USD-SOFRCMP-3M,2014-12-15,8.63E-04
USD-SOFRCMP-3M,2014-12-16,8.58E-04
USD-SOFRCMP-3M,2014-12-17,8.51E-04
USD-SOFRCMP-3M,2014-12-18,8.47E-04
USD-SOFRCMP-3M,2014-12-19,8.47E-04
USD-SOFRCMP-3M,2014-12-22,8.51E-04
USD-SOFRCMP-3M,2014-12-23,8.51E-04
USD-SOFRCMP-3M,2014-12-24,8.40E-04
USD-SOFRCMP-3M,2014-12-29,8.38E-04
USD-SOFRCMP-3M,2014-12-30,8.42E-04
USD-SOFRCMP-3M,2014-12-31,8.56E-04
USD-SOFRCMP-3M,2015-01-02,8.57E-04
USD-SOFRCMP-3M,2015-01-05,8.61E-04
USD-SOFRCMP-3M,2015-01-06,8.83E-04
USD-SOFRCMP-3M,2015-01-07,8.98E-04
USD-SOFRCMP-3M,2015-01-08,8.99E-04
USD-SOFRCMP-3M,2015-01-09,9.05E-04
USD-SOFRCMP-3M,2015-01-12,9.10E-04
USD-SOFRCMP-3M,2015-01-13,9.16E-04
USD-SOFRCMP-3M,2015-01-14,9.43E-04
USD-SOFRCMP-3M,2015-01-15,9.45E-04
USD-SOFRCMP-3M,2015-01-16,9.51E-04
USD-SOFRCMP-3M,2015-01-19,9.58E-04
USD-SOFRCMP-3M,2015-01-20,9.58E-04
USD-SOFRCMP-3M,2015-01-21,9.67E-04
USD-SOFRCMP-3M,2015-01-22,9.95E-04
USD-SOFRCMP-3M,2015-01-23,9.97E-04
USD-SOFRCMP-3M,2015-01-26,9.98E-04
USD-SOFRCMP-3M,2015-01-27,9.99E-04
USD-SOFRCMP-3M,2015-01-28,0.001001222
USD-SOFRCMP-3M,2015-01-29,0.001004567
USD-SOFRCMP-3M,2015-01-30,0.001007902
USD-SOFRCMP-3M,2015-02-02,0.001011236
USD-SOFRCMP-3M,2015-02-03,0.00101457
USD-SOFRCMP-3M,2015-02-04,0.001042991
USD-SOFRCMP-3M,2015-02-05,0.001044577
USD-SOFRCMP-3M,2015-02-06,0.001046199
USD-SOFRCMP-3M,2015-02-09,0.001048447
USD-SOFRCMP-3M,2015-02-10,0.001048447
USD-SOFRCMP-3M,2015-02-11,0.001025404
USD-SOFRCMP-3M,2015-02-12,0.001025684
USD-SOFRCMP-3M,2015-02-13,0.001027093
USD-SOFRCMP-3M,2015-02-16,0.001027093
USD-SOFRCMP-3M,2015-02-17,0.001027093
USD-SOFRCMP-3M,2015-02-18,0.001024846
USD-SOFRCMP-3M,2015-02-19,0.001027907
USD-SOFRCMP-3M,2015-02-20,0.001030465
USD-SOFRCMP-3M,2015-02-23,0.001030465
USD-SOFRCMP-3M,2015-02-24,0.001029341
USD-SOFRCMP-3M,2015-02-25,0.001026218
USD-SOFRCMP-3M,2015-02-26,0.001031999
USD-SOFRCMP-3M,2015-02-27,0.00103902
USD-SOFRCMP-3M,2015-03-02,0.001046199
USD-SOFRCMP-3M,2015-03-03,0.001049571
USD-SOFRCMP-3M,2015-03-04,0.001059923
USD-SOFRCMP-3M,2015-03-05,0.001063184
USD-SOFRCMP-3M,2015-03-06,0.001069708
USD-SOFRCMP-3M,2015-03-09,0.00107297
USD-SOFRCMP-3M,2015-03-10,0.001071423
USD-SOFRCMP-3M,2015-03-11,0.00107297
USD-SOFRCMP-3M,2015-03-12,0.001074057
USD-SOFRCMP-3M,2015-03-13,0.001075144
USD-SOFRCMP-3M,2015-03-16,0.001079493
USD-SOFRCMP-3M,2015-03-17,0.001086321
USD-SOFRCMP-3M,2015-03-18,0.001091453
USD-SOFRCMP-3M,2015-03-19,0.001090366
USD-SOFRCMP-3M,2015-03-20,0.001086017
USD-SOFRCMP-3M,2015-03-23,0.001082755
USD-SOFRCMP-3M,2015-03-24,0.001074615
USD-SOFRCMP-3M,2015-03-25,0.001077319
USD-SOFRCMP-3M,2015-03-26,0.001074057
USD-SOFRCMP-3M,2015-03-27,0.001074057
USD-SOFRCMP-3M,2015-03-30,0.001071882
USD-SOFRCMP-3M,2015-03-31,0.001071423
USD-SOFRCMP-3M,2015-04-01,0.001069708
USD-SOFRCMP-3M,2015-04-02,0.001068273
USD-SOFRCMP-3M,2015-04-07,0.001060578
USD-SOFRCMP-3M,2015-04-08,0.001051785
USD-SOFRCMP-3M,2015-04-09,0.001049586
USD-SOFRCMP-3M,2015-04-10,0.001047388
USD-SOFRCMP-3M,2015-04-13,0.00104519
USD-SOFRCMP-3M,2015-04-14,0.00104409
USD-SOFRCMP-3M,2015-04-15,0.001040793
USD-SOFRCMP-3M,2015-04-16,0.001039694
USD-SOFRCMP-3M,2015-04-17,0.001039694
USD-SOFRCMP-3M,2015-04-20,0.001038595
USD-SOFRCMP-3M,2015-04-21,0.001037495
USD-SOFRCMP-3M,2015-04-22,0.001027603
USD-SOFRCMP-3M,2015-04-23,0.001026504
USD-SOFRCMP-3M,2015-04-24,0.001027603
USD-SOFRCMP-3M,2015-04-27,0.001027603
USD-SOFRCMP-3M,2015-04-28,0.0010309
USD-SOFRCMP-3M,2015-04-29,0.001050686
USD-SOFRCMP-3M,2015-04-30,0.00105838
USD-SOFRCMP-3M,2015-05-01,0.001066074
USD-SOFRCMP-3M,2015-05-05,0.001122501
USD-SOFRCMP-3M,2015-05-06,0.001121896
USD-SOFRCMP-3M,2015-05-07,0.001131681
USD-SOFRCMP-3M,2015-05-08,0.001141467
USD-SOFRCMP-3M,2015-05-11,0.001153427
USD-SOFRCMP-3M,2015-05-12,0.001185285
USD-SOFRCMP-3M,2015-05-13,0.00120779
USD-SOFRCMP-3M,2015-05-14,0.001218663
USD-SOFRCMP-3M,2015-05-15,0.001230623
USD-SOFRCMP-3M,2015-05-18,0.001241496
USD-SOFRCMP-3M,2015-05-19,0.00126829
USD-SOFRCMP-3M,2015-05-20,0.001281726
USD-SOFRCMP-3M,2015-05-21,0.001294774
USD-SOFRCMP-3M,2015-05-22,0.001307822
USD-SOFRCMP-3M,2015-05-26,0.001318695
USD-SOFRCMP-3M,2015-05-27,0.001328948
USD-SOFRCMP-3M,2015-05-28,0.001356751
USD-SOFRCMP-3M,2015-05-29,0.001364363
USD-SOFRCMP-3M,2015-06-01,0.001371974
USD-SOFRCMP-3M,2015-06-02,0.001383223
USD-SOFRCMP-3M,2015-06-03,0.001394808
USD-SOFRCMP-3M,2015-06-04,0.001403507
USD-SOFRCMP-3M,2015-06-05,0.001410031
USD-SOFRCMP-3M,2015-06-08,0.001411118
USD-SOFRCMP-3M,2015-06-09,0.001405518
USD-SOFRCMP-3M,2015-06-10,0.001418729
USD-SOFRCMP-3M,2015-06-11,0.001419817
USD-SOFRCMP-3M,2015-06-12,0.001420904
USD-SOFRCMP-3M,2015-06-15,0.001426341
USD-SOFRCMP-3M,2015-06-16,0.001428984
USD-SOFRCMP-3M,2015-06-17,0.001436127
USD-SOFRCMP-3M,2015-06-18,0.001438302
USD-SOFRCMP-3M,2015-06-19,0.001439389
USD-SOFRCMP-3M,2015-06-22,0.001441564
USD-SOFRCMP-3M,2015-06-23,0.001433241
USD-SOFRCMP-3M,2015-06-24,0.001449175
USD-SOFRCMP-3M,2015-06-25,0.001454612
USD-SOFRCMP-3M,2015-06-26,0.001458961
USD-SOFRCMP-3M,2015-06-29,0.001463311
USD-SOFRCMP-3M,2015-06-30,0.001456654
USD-SOFRCMP-3M,2015-07-01,0.001463311
USD-SOFRCMP-3M,2015-07-02,0.001463311
USD-SOFRCMP-3M,2015-07-03,0.001469835
USD-SOFRCMP-3M,2015-07-06,0.001469835
USD-SOFRCMP-3M,2015-07-07,0.001469835
USD-SOFRCMP-3M,2015-07-08,0.001465486
USD-SOFRCMP-3M,2015-07-09,0.001464398
USD-SOFRCMP-3M,2015-07-10,0.001464398
USD-SOFRCMP-3M,2015-07-13,0.001464398
USD-SOFRCMP-3M,2015-07-14,0.001456063
USD-SOFRCMP-3M,2015-07-15,0.001457874
USD-SOFRCMP-3M,2015-07-16,0.001455699
USD-SOFRCMP-3M,2015-07-17,0.001455699
USD-SOFRCMP-3M,2015-07-20,0.001454612
USD-SOFRCMP-3M,2015-07-21,0.00146091
USD-SOFRCMP-3M,2015-07-22,0.001465485
USD-SOFRCMP-3M,2015-07-23,0.001466573
USD-SOFRCMP-3M,2015-07-24,0.001466573
USD-SOFRCMP-3M,2015-07-27,0.001466573
USD-SOFRCMP-3M,2015-07-28,0.001457718
USD-SOFRCMP-3M,2015-07-29,0.00145135
USD-SOFRCMP-3M,2015-07-30,0.001441564
USD-SOFRCMP-3M,2015-07-31,0.001431777
USD-SOFRCMP-3M,2015-08-03,0.001421991
USD-SOFRCMP-3M,2015-08-04,0.001415632
USD-SOFRCMP-3M,2015-08-05,0.001358926
USD-SOFRCMP-3M,2015-08-06,0.001348053
USD-SOFRCMP-3M,2015-08-07,0.00133718
USD-SOFRCMP-3M,2015-08-10,0.001331743
USD-SOFRCMP-3M,2015-08-11,0.001315114
USD-SOFRCMP-3M,2015-08-12,0.001288251
USD-SOFRCMP-3M,2015-08-13,0.001270096
USD-SOFRCMP-3M,2015-08-14,0.00126433
USD-SOFRCMP-3M,2015-08-17,0.001253457
USD-SOFRCMP-3M,2015-08-18,0.001237429
USD-SOFRCMP-3M,2015-08-19,0.001211053
USD-SOFRCMP-3M,2015-08-20,0.001199093
USD-SOFRCMP-3M,2015-08-21,0.001186045
USD-SOFRCMP-3M,2015-08-24,0.001175172
USD-SOFRCMP-3M,2015-08-25,0.001150169
USD-SOFRCMP-3M,2015-08-26,0.001134943
USD-SOFRCMP-3M,2015-08-27,0.001125158
USD-SOFRCMP-3M,2015-08-28,0.001116286
USD-SOFRCMP-3M,2015-09-01,0.001112924
USD-SOFRCMP-3M,2015-09-02,0.001100149
USD-SOFRCMP-3M,2015-09-03,0.001094653
USD-SOFRCMP-3M,2015-09-04,0.00108476
USD-SOFRCMP-3M,2015-09-07,0.001077066
USD-SOFRCMP-3M,2015-09-08,0.001077066
USD-SOFRCMP-3M,2015-09-09,0.001077066
USD-SOFRCMP-3M,2015-09-10,0.00108586
USD-SOFRCMP-3M,2015-09-11,0.001092455
USD-SOFRCMP-3M,2015-09-14,0.001102348
USD-SOFRCMP-3M,2015-09-15,0.001106745
USD-SOFRCMP-3M,2015-09-16,0.001110042
USD-SOFRCMP-3M,2015-09-17,0.001111141
USD-SOFRCMP-3M,2015-09-18,0.001117737
USD-SOFRCMP-3M,2015-09-21,0.001130927
USD-SOFRCMP-3M,2015-09-22,0.001152911
USD-SOFRCMP-3M,2015-09-23,0.001232055
USD-SOFRCMP-3M,2015-09-24,0.001254039
USD-SOFRCMP-3M,2015-09-25,0.001272727
USD-SOFRCMP-3M,2015-09-28,0.001293612
USD-SOFRCMP-3M,2015-09-29,0.001384284
USD-SOFRCMP-3M,2015-09-30,0.001393644
USD-SOFRCMP-3M,2015-10-01,0.001424424
USD-SOFRCMP-3M,2015-10-02,0.001457403
USD-SOFRCMP-3M,2015-10-05,0.001598218
USD-SOFRCMP-3M,2015-10-06,0.001602449
USD-SOFRCMP-3M,2015-10-07,0.00164381
USD-SOFRCMP-3M,2015-10-08,0.001670995
USD-SOFRCMP-3M,2015-10-09,0.00170253
USD-SOFRCMP-3M,2015-10-12,0.001730803
USD-SOFRCMP-3M,2015-10-13,0.001730803
USD-SOFRCMP-3M,2015-10-14,0.001798279
USD-SOFRCMP-3M,2015-10-15,0.001864559
USD-SOFRCMP-3M,2015-10-16,0.001891745
USD-SOFRCMP-3M,2015-10-19,0.00191567
USD-SOFRCMP-3M,2015-10-20,0.001998402
USD-SOFRCMP-3M,2015-10-21,0.002008104
USD-SOFRCMP-3M,2015-10-22,0.002033117
USD-SOFRCMP-3M,2015-10-23,0.002063568
USD-SOFRCMP-3M,2015-10-26,0.002098368
USD-SOFRCMP-3M,2015-10-27,0.002199545
USD-SOFRCMP-3M,2015-10-28,0.002258237
USD-SOFRCMP-3M,2015-10-29,0.002289777
USD-SOFRCMP-3M,2015-10-30,0.00232458
USD-SOFRCMP-3M,2015-11-02,0.002362646
USD-SOFRCMP-3M,2015-11-03,0.002380912
USD-SOFRCMP-3M,2015-11-04,0.002509473
