Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2014-08-26,2014-08-22,2014-11-24,6.30901642696295E-4
USD-SOFRCMP-OFFSET2-3M,2014-08-27,2014-08-25,2014-11-25,6.337455943271765E-4
USD-SOFRCMP-OFFSET2-3M,2014-08-28,2014-08-26,2014-11-26,6.370069874887988E-4
USD-SOFRCMP-OFFSET2-3M,2014-08-29,2014-08-27,2014-11-28,6.41987316027077E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-01,2014-08-28,2014-11-28,6.4461689670462E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-02,2014-08-28,2014-11-28,6.4461689670462E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-03,2014-08-29,2014-11-28,6.47304275241065E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-04,2014-09-02,2014-12-02,6.758803510016879E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-05,2014-09-03,2014-12-03,6.846730495393026E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-08,2014-09-04,2014-12-04,6.923666778592241E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-09,2014-09-05,2014-12-05,6.98961227403902E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-10,2014-09-08,2014-12-08,7.253393816274447E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-11,2014-09-09,2014-12-09,7.330330890129114E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-12,2014-09-10,2014-12-10,7.396277081766252E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-15,2014-09-11,2014-12-11,7.4512323329643E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-16,2014-09-12,2014-12-12,7.52816979153101E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-17,2014-09-15,2014-12-15,7.758981974919039E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-18,2014-09-16,2014-12-16,7.824928862553283E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-19,2014-09-17,2014-12-17,7.912858217076067E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-22,2014-09-18,2014-12-18,7.978805379558586E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-23,2014-09-19,2014-12-19,8.066735100434472E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-24,2014-09-22,2014-12-22,8.330524263132401E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-25,2014-09-23,2014-12-23,8.396472139979752E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-26,2014-09-24,2014-12-24,8.451428810886107E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-29,2014-09-25,2014-12-26,8.500899871606873E-4
USD-SOFRCMP-OFFSET2-3M,2014-09-30,2014-09-26,2014-12-26,8.561342186263178E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-01,2014-09-29,2014-12-29,8.726212611223914E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-02,2014-09-30,2014-12-30,8.78116974010239E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-03,2014-10-01,2015-01-02,8.850449560813697E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-06,2014-10-02,2015-01-02,8.914033975525255E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-07,2014-10-03,2015-01-05,9.001032124819087E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-08,2014-10-06,2015-01-06,9.120602214369819E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-09,2014-10-07,2015-01-07,9.15321847422799E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-10,2014-10-08,2015-01-08,9.174962659593303E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-13,2014-10-09,2015-01-09,9.20757896485863E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-14,2014-10-09,2015-01-09,9.20757896485863E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-15,2014-10-10,2015-01-12,9.213847969782685E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-16,2014-10-14,2015-01-14,9.327172343641328E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-17,2014-10-15,2015-01-15,9.348916619586358E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-20,2014-10-16,2015-01-16,9.359788754578648E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-21,2014-10-17,2015-01-20,9.380080609541383E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-22,2014-10-20,2015-01-20,9.294555509946527E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-23,2014-10-21,2015-01-21,9.305427632835455E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-24,2014-10-22,2015-01-22,9.294555506922859E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-27,2014-10-23,2015-01-23,9.283683381018951E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-28,2014-10-24,2015-01-26,9.235129418318015E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-29,2014-10-27,2015-01-27,9.25106716641154E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-30,2014-10-28,2015-01-28,9.218450843073712E-4
USD-SOFRCMP-OFFSET2-3M,2014-10-31,2014-10-29,2015-01-29,9.196706633579874E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-03,2014-10-30,2015-01-30,9.174962436137266E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-04,2014-10-31,2015-01-30,9.176862158133891E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-05,2014-11-03,2015-02-03,9.011882495585619E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-06,2014-11-04,2015-02-04,9.00101045723776E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-07,2014-11-05,2015-02-05,9.001010457229072E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-10,2014-11-06,2015-02-06,9.033626590310393E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-11,2014-11-07,2015-02-09,9.150003030064701E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-12,2014-11-07,2015-02-09,9.150003030064701E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-13,2014-11-10,2015-02-10,9.261939277171039E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-14,2014-11-12,2015-02-12,9.316300003317634E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-17,2014-11-13,2015-02-13,9.359788531096546E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-18,2014-11-14,2015-02-17,9.401138189019401E-4
