Reference, Date, Value
USD-SOFRPRECMP-3M,2014-08-22,6.41987316027077E-4
USD-SOFRPRECMP-3M,2014-08-26,6.4461689670462E-4
USD-SOFRPRECMP-3M,2014-08-27,6.47304275241065E-4
USD-SOFRPRECMP-3M,2014-08-28,6.758803510016879E-4
USD-SOFRPRECMP-3M,2014-08-29,6.758803510016879E-4
USD-SOFRPRECMP-3M,2014-09-01,6.846730495393026E-4
USD-SOFRPRECMP-3M,2014-09-02,6.923666778592241E-4
USD-SOFRPRECMP-3M,2014-09-03,6.98961227403902E-4
USD-SOFRPRECMP-3M,2014-09-04,7.253393816274447E-4
USD-SOFRPRECMP-3M,2014-09-05,7.330330890129114E-4
USD-SOFRPRECMP-3M,2014-09-08,7.396277081766252E-4
USD-SOFRPRECMP-3M,2014-09-09,7.4512323329643E-4
USD-SOFRPRECMP-3M,2014-09-10,7.52816979153101E-4
USD-SOFRPRECMP-3M,2014-09-11,7.758981974919039E-4
USD-SOFRPRECMP-3M,2014-09-12,7.824928862553283E-4
USD-SOFRPRECMP-3M,2014-09-15,7.912858217076067E-4
USD-SOFRPRECMP-3M,2014-09-16,7.978805379558586E-4
USD-SOFRPRECMP-3M,2014-09-17,8.066735100434472E-4
USD-SOFRPRECMP-3M,2014-09-18,8.330524263132401E-4
USD-SOFRPRECMP-3M,2014-09-19,8.396472139979752E-4
USD-SOFRPRECMP-3M,2014-09-22,8.451428810886107E-4
USD-SOFRPRECMP-3M,2014-09-23,8.48513686392961E-4
USD-SOFRPRECMP-3M,2014-09-24,8.543482264164163E-4
USD-SOFRPRECMP-3M,2014-09-25,8.726212611223914E-4
USD-SOFRPRECMP-3M,2014-09-26,8.772698066270858E-4
USD-SOFRPRECMP-3M,2014-09-29,8.850449560813697E-4
USD-SOFRPRECMP-3M,2014-09-30,8.914033975525255E-4
USD-SOFRPRECMP-3M,2014-10-01,9.001032124819087E-4
USD-SOFRPRECMP-3M,2014-10-02,9.120602214369819E-4
USD-SOFRPRECMP-3M,2014-10-03,9.15321847422799E-4
USD-SOFRPRECMP-3M,2014-10-06,9.174962659593303E-4
USD-SOFRPRECMP-3M,2014-10-07,9.20757896485863E-4
USD-SOFRPRECMP-3M,2014-10-08,9.213847969782685E-4
USD-SOFRPRECMP-3M,2014-10-09,9.327172343641328E-4
USD-SOFRPRECMP-3M,2014-10-10,9.327172343641328E-4
USD-SOFRPRECMP-3M,2014-10-13,9.348916619586358E-4
USD-SOFRPRECMP-3M,2014-10-14,9.359788754578648E-4
USD-SOFRPRECMP-3M,2014-10-15,9.380080609541383E-4
USD-SOFRPRECMP-3M,2014-10-16,9.294555509946527E-4
USD-SOFRPRECMP-3M,2014-10-17,9.305427632835455E-4
USD-SOFRPRECMP-3M,2014-10-20,9.294555506922859E-4
USD-SOFRPRECMP-3M,2014-10-21,9.283683381018951E-4
USD-SOFRPRECMP-3M,2014-10-22,9.235129418318015E-4
USD-SOFRPRECMP-3M,2014-10-23,9.25106716641154E-4
USD-SOFRPRECMP-3M,2014-10-24,9.218450843073712E-4
