Reference, Date, Value
ON-FWD,2019-06-21,0.023678962934106096
ON-FWD,2019-06-24,0.02367740562350562
ON-FWD,2019-06-25,0.023677405623425685
ON-FWD,2019-06-26,0.02367740562350562
ON-FWD,2019-06-27,0.023677405623425685
ON-FWD,2019-06-28,0.023678962934106096
ON-FWD,2019-07-01,0.02367740562350562
ON-FWD,2019-07-02,0.02367740562350562
ON-FWD,2019-07-03,0.023678184261699542
ON-FWD,2019-07-05,0.023678962934106096
ON-FWD,2019-07-08,0.02367740562350562
ON-FWD,2019-07-09,0.02367740562350562
ON-FWD,2019-07-10,0.023677405623425685
ON-FWD,2019-07-11,0.02367740562350562
ON-FWD,2019-07-12,0.023678962934106096
ON-FWD,2019-07-15,0.02367740562350562
ON-FWD,2019-07-16,0.02367740562350562
ON-FWD,2019-07-17,0.023677405623425685
ON-FWD,2019-07-18,0.02367740562350562
ON-FWD,2019-07-19,0.023678962934106096
ON-FWD,2019-07-22,0.02367740562350562
ON-FWD,2019-07-23,0.02367740562350562
ON-FWD,2019-07-24,0.023677405623425685
ON-FWD,2019-07-25,0.022548656434269176
ON-FWD,2019-07-26,0.022421053006231872
ON-FWD,2019-07-29,0.022290657116439405
ON-FWD,2019-07-30,0.02222615731589883
ON-FWD,2019-07-31,0.02216165752686905
ON-FWD,2019-08-01,0.022097157749429996
ON-FWD,2019-08-02,0.021969498811955646
ON-FWD,2019-08-05,0.021839158755181387
ON-FWD,2019-08-06,0.021774659035536104
ON-FWD,2019-08-07,0.021710159327401612
ON-FWD,2019-08-08,0.02164565963085785
ON-FWD,2019-08-09,0.02151794631653381
ON-FWD,2019-08-12,0.021387660960110466
ON-FWD,2019-08-13,0.02132316132144041
ON-FWD,2019-08-14,0.021258661694121272
ON-FWD,2019-08-15,0.0211941620784728
ON-FWD,2019-08-16,0.02106639551999301
ON-FWD,2019-08-19,0.02093616373130658
ON-FWD,2019-08-20,0.020871664173451876
ON-FWD,2019-08-21,0.020807164627107966
ON-FWD,2019-08-22,0.020742665092274848
ON-FWD,2019-08-23,0.020614846422253308
ON-FWD,2019-08-26,0.020484667068769724
ON-FWD,2019-08-27,0.020420167591730376
ON-FWD,2019-08-28,0.020355668126281756
ON-FWD,2019-08-29,0.02029116867234393
ON-FWD,2019-08-30,0.020131608541495982
ON-FWD,2019-09-03,0.019968671576195973
ON-FWD,2019-09-04,0.019904172191642644
ON-FWD,2019-09-05,0.019839672818600107
ON-FWD,2019-09-06,0.019711753323337078
ON-FWD,2019-09-09,0.01958167544217737
ON-FWD,2019-09-10,0.019517176126928604
ON-FWD,2019-09-11,0.019452676823270565
ON-FWD,2019-09-12,0.019388177531203254
ON-FWD,2019-09-13,0.019260209322080613
ON-FWD,2019-09-16,0.019130180478201808
ON-FWD,2019-09-17,0.01906568124384833
ON-FWD,2019-09-18,0.019001182021085583
ON-FWD,2019-09-19,0.018936682809833627
ON-FWD,2019-09-20,0.018808667019678538
ON-FWD,2019-09-23,0.01867868608049328
ON-FWD,2019-09-24,0.018614186927035092
ON-FWD,2019-09-25,0.019219018117606623
ON-FWD,2019-09-26,0.019168319503419795
ON-FWD,2019-09-27,0.01906793216841507
ON-FWD,2019-09-30,0.018965525117815574
ON-FWD,2019-10-01,0.018914826539360163
ON-FWD,2019-10-02,0.018864127967939126
ON-FWD,2019-10-03,0.018813429403712334
ON-FWD,2019-10-04,0.01871300492500616
ON-FWD,2019-10-07,0.01861063521810813
ON-FWD,2019-10-08,0.01855993668953282
ON-FWD,2019-10-09,0.018509238168071818
ON-FWD,2019-10-10,0.01845853965380506
ON-FWD,2019-10-11,0.018333193674648918
ON-FWD,2019-10-15,0.0182050471895856
ON-FWD,2019-10-16,0.01815434871816457
ON-FWD,2019-10-17,0.018103650253777914
ON-FWD,2019-10-18,0.018003153587002885
ON-FWD,2019-10-21,0.017900856468093806
ON-FWD,2019-10-22,0.01785015803943857
ON-FWD,2019-10-23,0.017799459617977575
ON-FWD,2019-10-24,0.01774876120363089
ON-FWD,2019-10-25,0.018361878231551998
ON-FWD,2019-10-28,0.018281671226141327
ON-FWD,2019-10-29,0.01824203596602736
ON-FWD,2019-10-30,0.018202400710229938
ON-FWD,2019-10-31,0.018162765458749064
ON-FWD,2019-11-01,0.018084403353118006
ON-FWD,2019-11-04,0.018004224496710464
ON-FWD,2019-11-05,0.017964589267052133
ON-FWD,2019-11-06,0.017924954041870222
ON-FWD,2019-11-07,0.017885318820924923
ON-FWD,2019-11-08,0.017787548956300636
ON-FWD,2019-11-12,0.0176871427819858
ON-FWD,2019-11-13,0.01764750758733946
ON-FWD,2019-11-14,0.017607872396929736
ON-FWD,2019-11-15,0.017529455520710613
ON-FWD,2019-11-18,0.017449331679255664
ON-FWD,2019-11-19,0.017409696510748418
ON-FWD,2019-11-20,0.01737006134655772
ON-FWD,2019-11-21,0.017330426186763503
ON-FWD,2019-11-22,0.017251982566763857
ON-FWD,2019-11-25,0.017171885591231728
ON-FWD,2019-11-26,0.017132250453260056
ON-FWD,2019-11-27,0.017073202588382408
ON-FWD,2019-11-29,0.016974510254303965
ON-FWD,2019-12-02,0.016894439717036747
ON-FWD,2019-12-03,0.01685480460960065
ON-FWD,2019-12-04,0.016815169506561034
ON-FWD,2019-12-05,0.01677553440775803
ON-FWD,2019-12-06,0.016697038583357582
ON-FWD,2019-12-09,0.01661699405667072
ON-FWD,2019-12-10,0.016577358979770196
ON-FWD,2019-12-11,0.016537723907266155
ON-FWD,2019-12-12,0.016498088839078662
ON-FWD,2019-12-13,0.016419567553898062
ON-FWD,2019-12-16,0.01633954861005371
ON-FWD,2019-12-17,0.016299913563768698
ON-FWD,2019-12-18,0.016260278521720295
ON-FWD,2019-12-19,0.01622064348414831
ON-FWD,2019-12-20,0.016142097165952052
ON-FWD,2019-12-23,0.016062103377265657
ON-FWD,2019-12-24,0.016003006528610975
ON-FWD,2019-12-26,0.016792845492243913
ON-FWD,2019-12-27,0.016732334909139723
ON-FWD,2019-12-30,0.016670269062277754
ON-FWD,2019-12-31,0.016624686755548623
ON-FWD,2020-01-02,0.01657833676730114
ON-FWD,2020-01-03,0.016517806408815616
ON-FWD,2020-01-06,0.016455760410396536
ON-FWD,2020-01-07,0.016425116327685174
ON-FWD,2020-01-08,0.016394472247611702
ON-FWD,2020-01-09,0.016363828170096184
ON-FWD,2020-01-10,0.01630327829194478
ON-FWD,2020-01-13,0.01624125188625314
ON-FWD,2020-01-14,0.016210607821847134
ON-FWD,2020-01-15,0.016179963759999083
ON-FWD,2020-01-16,0.016149319700788922
ON-FWD,2020-01-17,0.016073785979491273
ON-FWD,2020-01-21,0.01599609944382685
ON-FWD,2020-01-22,0.01596545540020422
ON-FWD,2020-01-23,0.015934811359299417
ON-FWD,2020-01-24,0.0158742232086162
ON-FWD,2020-01-27,0.01615305250037835
ON-FWD,2020-01-28,0.016125492763965354
ON-FWD,2020-01-29,0.01609793302955076
ON-FWD,2020-01-30,0.016070373297374374
ON-FWD,2020-01-31,0.01601596631741309
ON-FWD,2020-02-03,0.015960134389452207
ON-FWD,2020-02-04,0.01593257466782738
ON-FWD,2020-02-05,0.015905014948200957
ON-FWD,2020-02-06,0.015877455230732807
ON-FWD,2020-02-07,0.015823031218769046
