Valuation Date, Symbology, Ticker, Field Name, Value
04/10/2019, muRisQ-Ticker,USD-LIBOR-3M, MarketValue,0.02027
04/10/2019, muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1M, MarketValue,0.0181
04/10/2019, muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-3M, MarketValue,0.0167
04/10/2019, muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-6M, MarketValue,0.0152
04/10/2019, muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-9M, MarketValue,0.0142
04/10/2019, muRisQ-Ticker,USD-FIXED-TERM-FED-FUND-OIS-1Y, MarketValue,0.0135
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-2Y, MarketValue,0.0117
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-3Y, MarketValue,0.0111
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-4Y, MarketValue,0.0109
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-5Y, MarketValue,0.0109
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-7Y, MarketValue,0.0113
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-10Y, MarketValue,0.012
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-15Y, MarketValue,0.0131
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-20Y, MarketValue,0.0136
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-FED-FUND-OIS-30Y, MarketValue,0.0139
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1M, MarketValue,0.0185
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3M, MarketValue,0.0175
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-6M, MarketValue,0.01615
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-9M, MarketValue,0.0152
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y, MarketValue,0.0146
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y, MarketValue,0.0129
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3Y, MarketValue,0.0123
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-4Y, MarketValue,0.0121
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y, MarketValue,0.0121
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-7Y, MarketValue,0.0125
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y, MarketValue,0.0134
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-15Y, MarketValue,0.01425
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-20Y, MarketValue,0.0149
04/10/2019, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-30Y, MarketValue,0.0151
04/10/2019, muRisQ-Ticker,USD-LIBOR-3M-3MX6M, MarketValue,0.0176
04/10/2019, muRisQ-Ticker,USD-LIBOR-3M-6MX9M, MarketValue,0.0146
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-1Y, MarketValue,0.01675
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-2Y, MarketValue,0.0146
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-3Y, MarketValue,0.0138
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-4Y, MarketValue,0.0135
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-5Y, MarketValue,0.0134
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-7Y, MarketValue,0.0137
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-10Y, MarketValue,0.0145
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-15Y, MarketValue,0.01545
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-20Y, MarketValue,0.016
04/10/2019, muRisQ-Ticker,USD-FIXED-6M-LIBOR-3M-30Y, MarketValue,0.0163
