Valuation Date, Symbology, Ticker, Field Name, Value
2020-10-28, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-1M, MarketValue,-0.005
2020-10-28, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-2M, MarketValue,-0.004
2020-10-28, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-3M, MarketValue,-0.003
2020-10-28, muRisQ-Ticker,EUR-FIXED-TERM-EONIA-OIS-6M, MarketValue,-0.002
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-1Y, MarketValue,-0.001
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-2Y, MarketValue,0
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-3Y, MarketValue,0.001
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-4Y, MarketValue,0.002
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-5Y, MarketValue,0.003
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-6Y, MarketValue,0.004
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-7Y, MarketValue,0.005
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-8Y, MarketValue,0.006
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-9Y, MarketValue,0.007
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-10Y, MarketValue,0.008
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-15Y, MarketValue,0.009
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-20Y, MarketValue,0.01
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-30Y, MarketValue,0.011
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-40Y, MarketValue,0.0115
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-EONIA-OIS-50Y, MarketValue,0.012
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-1M, MarketValue,-0.00585
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-2M, MarketValue,-0.00485
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-3M, MarketValue,-0.00385
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-6M, MarketValue,-0.00285
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-1Y, MarketValue,-0.00185
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-2Y, MarketValue,-0.00085
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-3Y, MarketValue,0.00015
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-4Y, MarketValue,0.00115
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-5Y, MarketValue,0.00215
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-6Y, MarketValue,0.00315
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-7Y, MarketValue,0.00415
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-8Y, MarketValue,0.00515
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-9Y, MarketValue,0.00615
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-10Y, MarketValue,0.00715
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-15Y, MarketValue,0.00815
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-20Y, MarketValue,0.00915
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-30Y, MarketValue,0.01015
2020-10-28, muRisQ-Ticker,EUR-FIXED-1Y-ESTR-OIS-40Y, MarketValue,0.01065
