Valuation Date, Symbology, Ticker, Field Name, Value
2021-09-08, muRisQ-Ticker,GBP-FIXED-TERM-SONIA-OIS-1M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-TERM-SONIA-OIS-2M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-TERM-SONIA-OIS-3M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-TERM-SONIA-OIS-6M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-TERM-SONIA-OIS-9M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-1Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-18M, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-2Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-3Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-4Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-5Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-6Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-7Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-8Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-9Y, MarketValue,0.001
2021-09-08, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-10Y, MarketValue,0.001
2021-09-09, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-12Y, MarketValue,0.001
2021-09-10, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-15Y, MarketValue,0.001
2021-09-11, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-20Y, MarketValue,0.001
2021-09-12, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-25Y, MarketValue,0.001
2021-09-13, muRisQ-Ticker,GBP-FIXED-1Y-SONIA-OIS-30Y, MarketValue,0.001
